id,name,year,start_time,end_time,league_id,league_name,league_hash_image
53767,Super League Darts Germany 2024,2024,2024-11-08,2024-11-08,4262,Super League Darts Germany,c65f8ddfbb33b279d6d0baf28a73bea1d4eeec1db874b220a02e93e73164c6fd
13766,The Masters 2022,2022,2022-01-28,2022-01-30,3967,The Masters,4a89cfbad0fd58c70764a696258907a1f5c4b1b191804b2840656b3c0aaff322
14199,PDC European Tour - Gibraltar Darts Trophy 2018,2018,2018-06-08,2018-06-10,3873,PDC European Tour - Gibraltar Darts Trophy,689e4dcbe271abcd2f837ebd2fcaddeefe3055e86848484bcdb1711d7bfb3326
14253,Nordic Darts Masters 2021,2021,2021-09-17,2021-09-18,4206,PDC World Series of Darts - Nordic Darts Masters,0cac96f67f6402f966a881de47611317dd3cc4b5f0cfad3c409ab14b407e59f8
13868,UK Open 2022,2022,2022-03-04,2022-03-06,4001,UK Open,4954f966f6085b1f0f1466c57449b9d0010368f053869079beb3ce77a381780c
14248,World Cup of Darts 2022,2022,2022-06-16,2022-06-19,4027,World Cup of Darts,8653388a7b545fbcfba78767bb2be010e3120a39f2fbfeeb500a533e87358bfe
14144,World Youth Championship Final 2021,2021,2021-11-28,2021-11-28,4356,World Youth Championship Final,334f10ff893614c46d51bca7403b8d67e8f024edf1a79a4848a10363bbc10cdf
14267,BDO World Ch.ship Women 2018,2018,2018-01-06,2018-01-13,2950,"BDO World Championship, Women",b0eb1a140130a28f7b39ad5e48e4ac1de41667814577bca74acdf59b54fe97fb
14304,World Matchplay 2021,2021,2021-07-17,2021-07-25,4061,World Matchplay,7e1674e1c426f4b9ddc91048869117d8f791ca3f7b4d9c61d266464cbe099d5c
13755,PDC European Tour - Danish Darts Open 2018,2018,2018-06-22,2018-06-24,3544,PDC European Tour - Danish Darts Open,de27a345a9cb6b1a681c6407168b86e9ad4bc105c2177ce5fd5159089a722f4f
13551,PDC European Tour - Hungarian Darts Trophy 2022,2022,2022-09-02,2022-09-04,2894,PDC European Tour - Hungarian Darts Trophy,2895671fe77802445c1f6896b2c38f22fe1f30ea2aed334c8b1db3702060a116
13479,Brisbane Darts Masters 2018,2018,2018-08-17,2018-08-19,3352,PDC World Series of Darts - Brisbane Darts Masters,6fcf2fe50a0444faf37ecef67b85518e660cb767fbe3f9e97799b1a3aecc2d40
53833,Winmau Championship Tour 2024,2024,2024-11-16,2024-11-16,19829,Winmau Championship Tour,
13705,PDC World Series of Darts - New South Wales Darts Masters 2022,2022,2022-08-19,2022-08-20,4119,New South Wales Darts Masters,b397ee8be9a14181260173872855e151e8599cec294507a3e4bd062e762548eb
13124,PDC European Tour - Gibraltar Darts Trophy 2021,2021,2021-09-24,2021-09-26,3873,PDC European Tour - Gibraltar Darts Trophy,689e4dcbe271abcd2f837ebd2fcaddeefe3055e86848484bcdb1711d7bfb3326
13676,PDC European Tour - Czech Darts Open 2022,2022,2022-05-13,2022-05-15,3491,PDC European Tour - Czech Darts Open,76d2777785896866333de237acd7a8e69f83b318cb3bc84432e9a85259149249
13418,German Darts Masters 2018,2018,2018-05-25,2018-05-25,3388,PDC World Series of Darts - German Darts Masters,fe7af0a6392677684bfb349b6fc5d110a633b605db2793c04608a49af7df7ff2
