id,name,importance,class_id,class_name,class_hash_image,league_id,league_name,league_hash_image
11450,World Seniors Darts Masters 2022,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4336.0,World Seniors Darts Masters,6312c64535440116dfefa3650e4e10a8edb1534b4102165edb8a8f83dd4fb9a2
11455,UK Open Finals,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4001.0,UK Open,4954f966f6085b1f0f1466c57449b9d0010368f053869079beb3ce77a381780c
11465,Australian ISO Challenge,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,
11468,European Tour 2 - German Darts Championship 2020,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3748.0,PDC European Tour - German Darts Championship,e61e8fa5521c8d1884de512d8ca7448fb549856b8eecde9f317baf3e0e985b28
11470,"Grand Slam of Darts 2021, Group G",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11486,"Grand Slam of Darts 2014, Group C",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11519,"Grand Slam of Darts 2022, Group G",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11516,"Grand Slam of Darts 2022, Group F",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11537,"Grand Slam of Darts 2022, Group H",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11542,Players Championship 22 2021,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,
11558,"Grand Slam of Darts 2018, Group F",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11560,"Grand Slam of Darts 2018, Group G",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11497,BDO World Trophy 2016,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3087.0,BDO World Trophy,ee173791b0a291151d3e8eb39fad2bfee6306cde469c58ef442a29d0e0e57f30
11498,European Darts Open,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3675.0,PDC European Tour - European Darts Open,3c58fcfb29bcc2c8f438caf41dad2edbfee42f4a00dd4852f6f64c1e4c0c3b86
11532,"Grand Slam of Darts, Group D",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11535,"Grand Slam of Darts, Group E",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11536,"Grand Slam of Darts, Group F",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11539,"Grand Slam of Darts, Group G",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11402,Champions League of Darts 2019 - League,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3215.0,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3
11403,"World Cup of Darts 2022, Doubles",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4027.0,World Cup of Darts,8653388a7b545fbcfba78767bb2be010e3120a39f2fbfeeb500a533e87358bfe
11411,Players Championship 22 2022,0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,,,
11415,"Grand Slam of Darts 2021, Group C",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
11416,"Grand Slam of Darts 2014, Group A",0,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,3295.0,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641
