id,tournament_id,type,name,season_id,season_name,league_id,league_name,league_hash_image,competitors
81464,11397,away,Group B,13639,Champions League of Darts 2018,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 2154, 'position': 0, 'team_name': 'Wright P.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}, {'wins': 0, 'losses': 1, 'points': 0, 'matches': 1, 'team_id': 1997, 'position': 0, 'team_name': 'Cross R.', 'scores_for': 3, 'scores_against': 10, 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 47444, 'position': 0, 'team_name': 'Whitlock S.', 'scores_for': 16, 'scores_against': 30, 'team_hash_image': 'd68176627238c4720658fe2f1ab39dacb96e8af510ecda85a964c6044c3ed6dd'}, {'wins': 2, 'losses': 0, 'points': 4, 'matches': 2, 'team_id': 2054, 'position': 0, 'team_name': 'Suljović M.', 'scores_for': 20, 'scores_against': 15, 'team_hash_image': 'b293777bbce0e129d220c590f7fb9caf0e9dfa8275a14b25882c6718e6c47d5b'}]"
81465,11402,total,Group A,12275,Champions League of Darts 2019,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 2032, 'position': 4, 'team_name': 'Anderson G.', 'scores_for': 20, 'scores_against': 30, 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 47448, 'position': 3, 'team_name': 'Wade J.', 'scores_for': 26, 'scores_against': 29, 'team_hash_image': '8405cdc2cc83067a1165e3cb65baed4e3b543f5dca9fd88d85a2b188b031b3d5'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2093, 'position': 2, 'team_name': 'Smith M.', 'scores_for': 26, 'scores_against': 25, 'team_hash_image': '7f48531f7f5c9a025bfe2de4398e28a3774de16710fd5be3097641a9bc74d229'}, {'wins': 3, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 1810, 'position': 1, 'team_name': 'Van Gerwen M.', 'scores_for': 30, 'scores_against': 18, 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}]"
81466,11402,total,Group B,12275,Champions League of Darts 2019,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 1997, 'position': 4, 'team_name': 'Cross R.', 'scores_for': 19, 'scores_against': 30, 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 47438, 'position': 3, 'team_name': 'Gurney D.', 'scores_for': 23, 'scores_against': 26, 'team_hash_image': '18d642241d01cd1496eac2989362a2d35019d003b1c203bdf96ae377a2384630'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2349, 'position': 2, 'team_name': 'Price G.', 'scores_for': 28, 'scores_against': 21, 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}, {'wins': 3, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 2154, 'position': 1, 'team_name': 'Wright P.', 'scores_for': 30, 'scores_against': 23, 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}]"
81468,11402,home,Group A,12275,Champions League of Darts 2019,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 47448, 'position': 0, 'team_name': 'Wade J.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': '8405cdc2cc83067a1165e3cb65baed4e3b543f5dca9fd88d85a2b188b031b3d5'}, {'wins': 0, 'losses': 1, 'points': 0, 'matches': 1, 'team_id': 2032, 'position': 0, 'team_name': 'Anderson G.', 'scores_for': 9, 'scores_against': 10, 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 2, 'losses': 0, 'points': 4, 'matches': 2, 'team_id': 2093, 'position': 0, 'team_name': 'Smith M.', 'scores_for': 20, 'scores_against': 15, 'team_hash_image': '7f48531f7f5c9a025bfe2de4398e28a3774de16710fd5be3097641a9bc74d229'}, {'wins': 3, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 1810, 'position': 0, 'team_name': 'Van Gerwen M.', 'scores_for': 30, 'scores_against': 18, 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}]"
81469,11402,home,Group B,12275,Champions League of Darts 2019,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 2349, 'position': 0, 'team_name': 'Price G.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}, {'wins': 0, 'losses': 2, 'points': 0, 'matches': 2, 'team_id': 47438, 'position': 0, 'team_name': 'Gurney D.', 'scores_for': 13, 'scores_against': 20, 'team_hash_image': '18d642241d01cd1496eac2989362a2d35019d003b1c203bdf96ae377a2384630'}, {'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 1997, 'position': 0, 'team_name': 'Cross R.', 'scores_for': 19, 'scores_against': 30, 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 1, 'losses': 0, 'points': 2, 'matches': 1, 'team_id': 2154, 'position': 0, 'team_name': 'Wright P.', 'scores_for': 10, 'scores_against': 8, 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}]"
81470,11402,away,Group A,12275,Champions League of Darts 2019,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 1810, 'position': 0, 'team_name': 'Van Gerwen M.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}, {'wins': 0, 'losses': 1, 'points': 0, 'matches': 1, 'team_id': 2093, 'position': 0, 'team_name': 'Smith M.', 'scores_for': 6, 'scores_against': 10, 'team_hash_image': '7f48531f7f5c9a025bfe2de4398e28a3774de16710fd5be3097641a9bc74d229'}, {'wins': 0, 'losses': 2, 'points': 0, 'matches': 2, 'team_id': 2032, 'position': 0, 'team_name': 'Anderson G.', 'scores_for': 11, 'scores_against': 20, 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 47448, 'position': 0, 'team_name': 'Wade J.', 'scores_for': 26, 'scores_against': 29, 'team_hash_image': '8405cdc2cc83067a1165e3cb65baed4e3b543f5dca9fd88d85a2b188b031b3d5'}]"
81471,11402,away,Group B,12275,Champions League of Darts 2019,3215,Champions League of Darts,8a203869ae384b7732916d47637c78e95baec868d0f3c622a2915472dc3eabe3,"[{'wins': 0, 'losses': 0, 'points': 0, 'matches': 0, 'team_id': 1997, 'position': 0, 'team_name': 'Cross R.', 'scores_for': 0, 'scores_against': 0, 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 1, 'losses': 0, 'points': 2, 'matches': 1, 'team_id': 47438, 'position': 0, 'team_name': 'Gurney D.', 'scores_for': 10, 'scores_against': 6, 'team_hash_image': '18d642241d01cd1496eac2989362a2d35019d003b1c203bdf96ae377a2384630'}, {'wins': 2, 'losses': 0, 'points': 4, 'matches': 2, 'team_id': 2154, 'position': 0, 'team_name': 'Wright P.', 'scores_for': 20, 'scores_against': 15, 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 2349, 'position': 0, 'team_name': 'Price G.', 'scores_for': 28, 'scores_against': 21, 'team_hash_image': '07971bdf5d7de2414e532a0ae232a176b9971c7f8ffdd8c4ad0f38d097ca6643'}]"
81474,11404,total,Premier League,14226,Premier League 2021,2875,Premier League Darts,96cd11affc7dda52b6348b0d54d158a67cee178c7fae03e76b935147f33217c5,"[{'wins': 0, 'points': 0, 'matches': 9, 'team_id': 1962, 'position': 10, 'team_name': 'Durrant G.', 'team_hash_image': 'bf35ef7ab47bb4ae2c3c9167d1d8cf773c3a7b50d9c05300c3857e918d79aba7'}, {'wins': 3, 'points': 7, 'matches': 9, 'team_id': 1997, 'position': 9, 'team_name': 'Cross R.', 'team_hash_image': '0ee0e38aa04003eee9fcb0ca14eab6218403833a52051e6da44f17788fddc0d9'}, {'wins': 5, 'points': 13, 'matches': 16, 'team_id': 2032, 'position': 8, 'team_name': 'Anderson G.', 'team_hash_image': 'e7695263ce57dff52ab29a0e2cde35f9fd18723ec604026a8c67afc81ab6d4d4'}, {'wins': 5, 'points': 15, 'matches': 16, 'team_id': 47448, 'position': 6, 'team_name': 'Wade J.', 'team_hash_image': '8405cdc2cc83067a1165e3cb65baed4e3b543f5dca9fd88d85a2b188b031b3d5'}, {'wins': 6, 'points': 15, 'matches': 16, 'team_id': 2154, 'position': 7, 'team_name': 'Wright P.', 'team_hash_image': '28c5a4d61a6acbc8a019a1bb872846e9ea9d43af89ad3fed96264e53710ddbe0'}, {'wins': 6, 'points': 16, 'matches': 16, 'team_id': 47457, 'position': 5, 'team_name': 'Van Den Bergh D.', 'team_hash_image': 'f11e98bf5cee8c1b35709a04172626fd1880098344f17282db20bdb882760b63'}, {'wins': 7, 'points': 19, 'matches': 16, 'team_id': 2503, 'position': 3, 'team_name': 'Aspinall N.', 'team_hash_image': '1d367b1fad0e1dd324ec1702bb03b3d339199e796563a075988207e26a4b928b'}, {'wins': 8, 'points': 18, 'matches': 16, 'team_id': 47442, 'position': 4, 'team_name': 'Clayton J.', 'team_hash_image': '9133712ffd0e6db0554bf066573229fdc13228c757669c61999619cd5807d77b'}, {'wins': 8, 'points': 20, 'matches': 16, 'team_id': 47462, 'position': 2, 'team_name': 'De Sousa J.', 'team_hash_image': '1f22bfa4f37746effc9590ed612da93f98cbb412ed15f718aa86eb077476e940'}, {'wins': 10, 'points': 23, 'matches': 16, 'team_id': 1810, 'position': 1, 'team_name': 'Van Gerwen M.', 'team_hash_image': 'e5281230fc54252da40c3c86448cda06e2b5d422669f501044d58d18aec97b06'}]"
81477,11405,total,"Grand Slam of Darts 2021, Group B",14085,Grand Slam of Darts 2021,3295,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641,"[{'wins': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 47474, 'position': 4, 'team_name': 'Rodriguez R.', 'scores_for': 10, 'scores_against': 15, 'team_hash_image': '1a1145baae4f1ad0445aeb4e2adcb03e9c75039398d13e11c5aa2cf51bfe6a64'}, {'wins': 1, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 47468, 'position': 3, 'team_name': 'King M.', 'scores_for': 10, 'scores_against': 14, 'team_hash_image': '303f0c4112fe111cc9d2af6bb4548056006c8d9aabdb86f8c91d5ca7c3576bf5'}, {'wins': 2, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 47463, 'position': 2, 'team_name': 'Brooks B.', 'scores_for': 13, 'scores_against': 9, 'team_hash_image': '8d9ecf18a9a7d66f3f476b7ee00d25c2696c09c0a066a46032dbad44cd8a5639'}, {'wins': 3, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 47442, 'position': 1, 'team_name': 'Clayton J.', 'scores_for': 15, 'scores_against': 10, 'team_hash_image': '9133712ffd0e6db0554bf066573229fdc13228c757669c61999619cd5807d77b'}]"
81488,11407,total,"Grand Slam of Darts 2022, Group B",12163,Grand Slam of Darts 2022,3295,Grand Slam of Darts,fa83813e76b193d7b48aeb9f88d41a81d428f12497c799ab14f2b8dda43de641,"[{'wins': 0, 'draws': 0, 'losses': 3, 'points': 0, 'matches': 3, 'team_id': 47476, 'position': 4, 'team_name': 'Perez C.', 'team_hash_image': '4d9c057c8b8564f642d48fd669bdec41a46c3fcc7935b2fe38d0f8d7953ceae0'}, {'wins': 1, 'draws': 0, 'losses': 2, 'points': 2, 'matches': 3, 'team_id': 2054, 'position': 3, 'team_name': 'Suljović M.', 'team_hash_image': 'b293777bbce0e129d220c590f7fb9caf0e9dfa8275a14b25882c6718e6c47d5b'}, {'wins': 2, 'draws': 0, 'losses': 1, 'points': 4, 'matches': 3, 'team_id': 47444, 'position': 2, 'team_name': 'Whitlock S.', 'team_hash_image': 'd68176627238c4720658fe2f1ab39dacb96e8af510ecda85a964c6044c3ed6dd'}, {'wins': 3, 'draws': 0, 'losses': 0, 'points': 6, 'matches': 3, 'team_id': 47469, 'position': 1, 'team_name': 'Noppert D.', 'team_hash_image': 'bc39dabc32fd2bd73cea6742e35ea0a680a98ea5aba3ba6aabe4df48a9ece92e'}]"
