Leg,Leg Value,Throw-in,Value Home,Value Away,Throw Home,Throw Away,Player Home,Player Away
0,3-6,,501,361,0,140,van Gerwen M.,Humphries L.
1,3-6,,361,361,140,0,van Gerwen M.,Humphries L.
2,3-6,,361,224,0,137,van Gerwen M.,Humphries L.
3,3-6,,240,224,121,0,van Gerwen M.,Humphries L.
4,3-6,,240,44,0,180,van Gerwen M.,Humphries L.
