Jahr,Austragungsort,Sieger,Ergebnis,Finalist,Gesamt,Sieger.1,Nationalität,Tournament
2012,"Van der Valk Hotel, Nuland",Simon Whitlock,6 : 1,Paul Nicholson,0£ 82.100,0£ 15.000,,Dutch Darts Masters
2013,"Koningshof Hotel, Veldhoven",Kim Huybrechts,6 : 3,Brendan Dolan,0£ 100.000,0£ 20.000,,Dutch Darts Masters
2014,"Koningshof Hotel, Veldhoven",Michael van Gerwen,6 : 4,Mervyn King,0£ 100.000,0£ 20.000,Niederlande,Dutch Darts Masters
2015,"Evenementenhal, Venray",Michael van Gerwen,6 : 0,Justin Pipe,0£ 115.000,0£ 25.000,Niederlande,Dutch Darts Masters
2016,"Evenementenhal, Venray",Michael van Gerwen,6 : 2,Daryl Gurney,0£ 115.000,0£ 25.000,Niederlande,Dutch Darts Masters
2017,"MECC, Maastricht",Michael van Gerwen,6 : 1,Steve Beaton,0£ 135.000,0£ 25.000,Niederlande,Dutch Darts Masters
2018,"IJsselhallen, Zwolle",Michael van Gerwen,8 : 5,Steve Lennon,0£ 135.000,0£ 25.000,Niederlande,Dutch Darts Masters
2019,"IJsselhallen, Zwolle",Ian White,8 : 7,Michael van Gerwen,0£ 140.000,0£ 25.000,England,Dutch Darts Masters
2020,"WTC Expo, Leeuwarden",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,,Dutch Darts Masters
2014,"Glaspalast, Sindelfingen",Mervyn King,6 : 5,Michael Smith,0£ 100.000,0£ 20.000,England,European Darts Grand Prix
2015,"Glaspalast, Sindelfingen",Kim Huybrechts,6 : 5,Peter Wright,0£ 115.000,0£ 25.000,,European Darts Grand Prix
2016,"Glaspalast, Sindelfingen",Michael van Gerwen,6 : 2,Peter Wright,0£ 115.000,0£ 25.000,Niederlande,European Darts Grand Prix
2017,"Glaspalast, Sindelfingen",Peter Wright,6 : 0,Michael van Gerwen,0£ 135.000,0£ 25.000,Schottland,European Darts Grand Prix
2018,"Glaspalast, Sindelfingen",Michael van Gerwen,8 : 3,James Wade,0£ 135.000,0£ 25.000,Niederlande,European Darts Grand Prix
2019,"Glaspalast, Sindelfingen",Ian White,8 : 7,Peter Wright,0£ 140.000,0£ 25.000,England,European Darts Grand Prix
2020,"Glaspalast, Sindelfingen",José de Sousa,8 : 4,Michael van Gerwen,0£ 140.000,0£ 25.000,,European Darts Grand Prix
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,European Darts Grand Prix
2022,"Hanns-Martin-Schleyer-Halle, Stuttgart",Luke Humphries,8 : 7,Rob Cross,0£ 140.000,0£ 25.000,England,European Darts Grand Prix
2023,"Glaspalast, Sindelfingen",Rob Cross,8 : 6,Luke Humphries,0£ 175.000,0£ 30.000,England,European Darts Grand Prix
2024,"Glaspalast, Sindelfingen",Gary Anderson,8 : 6,Ross Smith,0£ 175.000,0£ 30.000,Schottland,European Darts Grand Prix
2025,"Glaspalast, Sindelfingen",,:,,0£ 175.000,0£ 30.000,,European Darts Grand Prix
2015,"Olympiahalle, Innsbruck",Michael van Gerwen,6 : 4,Dave Chisnall,0£ 115.000,0£ 25.000,Niederlande,European Darts Matchplay
2016,"Edel-optics.de Arena (bis 2017: Inselparkhalle), Hamburg",James Wade,6 : 2,Dave Chisnall,0£ 115.000,0£ 25.000,England,European Darts Matchplay
2017,"Edel-optics.de Arena (bis 2017: Inselparkhalle), Hamburg",Michael van Gerwen,6 : 3,Mensur Suljović,0£ 135.000,0£ 25.000,Niederlande,European Darts Matchplay
2018,"Edel-optics.de Arena (bis 2017: Inselparkhalle), Hamburg",Michael van Gerwen,8 : 2,William O’Connor,0£ 135.000,0£ 25.000,Niederlande,European Darts Matchplay
2019,"Maimarkthalle, Mannheim",Joe Cullen,8 : 5,Michael van Gerwen,0£ 140.000,0£ 25.000,England,European Darts Matchplay
2020,"Arena, Trier",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,COVID-19-Pandemie,European Darts Matchplay
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,European Darts Matchplay
2022,"Arena, Trier",Luke Humphries,8 : 7,Rowby-John Rodriguez,0£ 140.000,0£ 25.000,England,European Darts Matchplay
2023,"Arena, Trier",Luke Humphries,8 : 7,Dirk van Duijvenbode,0£ 175.000,0£ 30.000,England,European Darts Matchplay
2012,"Maritim Hotel, Düsseldorf",Raymond van Barneveld,6 : 4,Dave Chisnall,0£ 82.100,0£ 15.000,Niederlande,European Darts Open
2013,"Maritim Hotel, Düsseldorf",Michael van Gerwen,6 : 2,Simon Whitlock,0£ 100.000,0£ 20.000,Niederlande,European Darts Open
2014,"Maritim Hotel, Düsseldorf",Peter Wright,6 : 2,Simon Whitlock,0£ 100.000,0£ 20.000,Schottland,European Darts Open
2015,"Maritim Hotel, Düsseldorf",Robert Thornton,6 : 2,Kim Huybrechts,0£ 115.000,0£ 25.000,Schottland,European Darts Open
2016,"Maritim Hotel, Düsseldorf",Michael van Gerwen,6 : 5,Peter Wright,0£ 115.000,0£ 25.000,Niederlande,European Darts Open
2017,"Ostermann-Arena, Leverkusen",Peter Wright,6 : 2,Mervyn King,0£ 135.000,0£ 25.000,Schottland,European Darts Open
2018,"Ostermann-Arena, Leverkusen",Michael van Gerwen,8 : 7,Peter Wright,0£ 135.000,0£ 25.000,Niederlande,European Darts Open
2019,"Ostermann-Arena, Leverkusen",Michael van Gerwen,8 : 6,Rob Cross,0£ 140.000,0£ 25.000,Niederlande,European Darts Open
2020,"Ostermann-Arena, Leverkusen",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,COVID-19-Pandemie,European Darts Open
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,European Darts Open
2022,"Ostermann-Arena, Leverkusen",Michael van Gerwen,8 : 5,Dimitri Van den Bergh,0£ 140.000,0£ 25.000,Niederlande,European Darts Open
2023,"Ostermann-Arena, Leverkusen",Gerwyn Price,8 : 7,Dirk van Duijvenbode,0£ 175.000,0£ 30.000,Wales,European Darts Open
2024,"Ostermann-Arena, Leverkusen",Dave Chisnall,8 : 6,Ross Smith,0£ 175.000,0£ 30.000,England,European Darts Open
2025,"Ostermann-Arena, Leverkusen",,,,0£ 175.000,0£ 30.000,,European Darts Open
"Ostermann-Arena, Leverkusen",,,,,,,,European Darts Open
2013,"Glaspalast, Sindelfingen",Wes Newton,6 : 5,Paul Nicholson,0£ 100.000,0£ 20.000,England,European Darts Trophy
2014,"Kohlrabizirkus, Leipzig",Michael Smith,6 : 5,Michael van Gerwen,0£ 100.000,0£ 20.000,England,European Darts Trophy
2015,"RWE Sporthalle, Mülheim an der Ruhr",Michael Smith,6 : 2,Michael van Gerwen,0£ 115.000,0£ 25.000,England,European Darts Trophy
2016,"RWE Sporthalle, Mülheim an der Ruhr",Michael van Gerwen,6 : 5,Mensur Suljović,0£ 115.000,0£ 25.000,Niederlande,European Darts Trophy
2017,"Lokhalle, Göttingen",Michael van Gerwen,6 : 4,Rob Cross,0£ 135.000,0£ 25.000,Niederlande,European Darts Trophy
2018,"Lokhalle, Göttingen",Michael van Gerwen,8 : 3,James Wade,0£ 135.000,0£ 25.000,Niederlande,European Darts Trophy
2025,"Lokhalle, Göttingen",,,,0£ 175.000,0£ 30.000,,European Darts Trophy
2024,"Antwerp Expo, Antwerpen",Dave Chisnall,8 : 6,Ricardo Pietreczko,0£ 175.000,0£ 30.000,England,Flanders Darts Trophy
2025,"Antwerp Expo, Antwerpen",,:,,0£ 175.000,0£ 30.000,,Flanders Darts Trophy
2007,"Gerry Weber Center, Halle",Phil Taylor,4 : 1,Denis Ovens,0100.200 €,025.000 €,England,German Darts Championship
2008,"Gerry Weber Center, Halle",Co Stompé,4 : 2,Phil Taylor,0100.200 €,025.000 €,Niederlande,German Darts Championship
2009,"Gerry Weber Center, Halle",Phil Taylor,11 : 4,Mervyn King,0100.200 €,025.000 €,England,German Darts Championship
2017,"Maimarkthalle, Mannheim",Michael van Gerwen,6 : 3,Rob Cross,0£ 135.000,0£ 25.000,Niederlande,German Darts Grand Prix
2018,"Zenith, München",Michael van Gerwen,8 : 5,Peter Wright,0£ 135.000,0£ 25.000,Niederlande,German Darts Grand Prix
2019,"Zenith, München",Michael van Gerwen,8 : 3,Simon Whitlock,0£ 140.000,0£ 25.000,Niederlande,German Darts Grand Prix
2020,"Zenith, München",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,COVID-19-Pandemie,German Darts Grand Prix
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,German Darts Grand Prix
2022,"Zenith, München",Luke Humphries,8 : 2,Martin Lukeman,0£ 140.000,0£ 25.000,England,German Darts Grand Prix
2023,"Zenith, München",Michael Smith,8 : 5,Nathan Aspinall,0£ 175.000,0£ 30.000,England,German Darts Grand Prix
2024,"Zenith, München",Luke Humphries,8 : 1,Michael van Gerwen,0£ 175.000,0£ 30.000,England,German Darts Grand Prix
2025,"Zenith, München",,:,,0£ 175.000,0£ 30.000,,German Darts Grand Prix
2012,"Glaspalast, Sindelfingen",Adrian Lewis,6 : 3,Ian White,0£ 82.100,0£ 15.000,England,German Darts Masters
2013,"Glaspalast, Sindelfingen",Steve Beaton,6 : 5,Mervyn King,0£ 100.000,0£ 20.000,England,German Darts Masters
2014,"Maritim Hotel, Berlin",Phil Taylor,6 : 4,Michael van Gerwen,0£ 100.000,0£ 20.000,England,German Darts Masters
2015,"Ballhausforum, Unterschleißheim",Michael van Gerwen,6 : 5,John Henderson,0£ 115.000,0£ 25.000,Niederlande,German Darts Masters
2016,"Ballhausforum, Unterschleißheim",Michael van Gerwen,6 : 4,Peter Wright,0£ 115.000,0£ 25.000,Niederlande,German Darts Masters
2017,"Sparkassen-Arena, Jena",Michael van Gerwen,6 : 2,Jelle Klaasen,0£ 135.000,0£ 25.000,Niederlande,German Darts Masters
2017,"Saarlandhalle, Saarbrücken",Peter Wright,6 : 5,Benito van de Pas,0£ 135.000,0£ 25.000,Schottland,German Darts Open
2018,"Saarlandhalle, Saarbrücken",Max Hopp,8 : 7,Michael Smith,0£ 135.000,0£ 25.000,,German Darts Open
2019,"Saarlandhalle, Saarbrücken",Michael van Gerwen,8 : 3,Ian White,0£ 140.000,0£ 25.000,Niederlande,German Darts Open
