Jahr,Austragungsort,Sieger,Ergebnis,Finalist,Sponsor,Gesamt,Sieger.1,Nationalität,Tournament,Teilnehmer
1994,"Circus Tavern, Purfleet",Dennis Priestley,6 : 1,Phil Taylor,Skol,0£64.000,0£16.000,England,PDC World Darts Championship,
1995,"Circus Tavern, Purfleet",Phil Taylor,6 : 2,Rod Harrington,Proton Cars,0£50.000,0£12.000,England,PDC World Darts Championship,
1996,"Circus Tavern, Purfleet",Phil Taylor,6 : 4,Dennis Priestley,Vernon’s Pools,0£62.500,0£14.000,England,PDC World Darts Championship,
1997,"Circus Tavern, Purfleet",Phil Taylor,6 : 3,Dennis Priestley,Red Band,0£99.500,0£45.000,England,PDC World Darts Championship,
1998,"Circus Tavern, Purfleet",Phil Taylor,6 : 0,Dennis Priestley,Skol,0£72.500,0£20.000,England,PDC World Darts Championship,
1999,"Circus Tavern, Purfleet",Phil Taylor,6 : 2,Peter Manley,Skol,0£104.000,0£30.000,England,PDC World Darts Championship,
2000,"Circus Tavern, Purfleet",Phil Taylor,7 : 3,Dennis Priestley,Skol,0£111.000,0£31.000,England,PDC World Darts Championship,
2001,"Circus Tavern, Purfleet",Phil Taylor,7 : 0,John Part,Skol,0£125.000,0£33.000,England,PDC World Darts Championship,
2002,"Circus Tavern, Purfleet",Phil Taylor,7 : 0,Peter Manley,Skol,0£205.000,0£50.000,England,PDC World Darts Championship,
2003,"Circus Tavern, Purfleet",John Part,7 : 6,Phil Taylor,Ladbrokes,0£237.000,0£50.000,Kanada,PDC World Darts Championship,
2004,"Circus Tavern, Purfleet",Phil Taylor,7 : 6,Kevin Painter,Ladbrokes,0£257.000,0£50.000,England,PDC World Darts Championship,
2005,"Circus Tavern, Purfleet",Phil Taylor,7 : 4,Mark Dudbridge,Ladbrokes,0£300.000,0£60.000,England,PDC World Darts Championship,
2006,"Circus Tavern, Purfleet",Phil Taylor,7 : 0,Peter Manley,Ladbrokes,0£500.000,0£100.000,England,PDC World Darts Championship,
2007,"Circus Tavern, Purfleet",Raymond van Barneveld,7 : 6,Phil Taylor,Ladbrokes,0£500.000,0£100.000,Niederlande,PDC World Darts Championship,
2008,"Alexandra Palace, London",John Part,7 : 2,Kirk Shepherd,Ladbrokes,0£589.000,0£100.000,Kanada,PDC World Darts Championship,
2009,"Alexandra Palace, London",Phil Taylor,7 : 1,Raymond van Barneveld,Ladbrokes,0£724.000,0£125.000,England,PDC World Darts Championship,
