Vorige Position,Aktuelle Position,Name,Nationalität,Preisgeld
269,269,"BARLOW, Jayson",Canada,£400
269,269,"COSTA,Javier",Spain,£400
269,269,"LOOS,Patrick",Netherlands,£400
269,269,"LOWTHER,Rick",England,£400
269,269,"MANSELL,Mickey",Northern Ireland,£400
269,269,"MENDOZA,Celestino",Gibraltar,£400
269,269,"PERALES,Jose",Gibraltar,£400
269,269,"SCRATCHLEY,Gary",England,£400
269,269,"SUTTON, Darren",England,£400
269,269,"ZANDER,Barry",Netherlands,£400
269,269,"ZAPATA,Henry",Gibraltar,£400
280,280,"BRÖMMELHAUS, Marek",Germany,£396
280,280,"DIXON,Gordon",USA,£396
280,280,"WUSCH, Stephan",Germany,£396
283,283,"KRUEGER, Frederick",USA,£375
283,283,"MILLER, Bernie",Canada,£375
283,283,"SMIDT, Jasper",Netherlands,£375
286,286,"ZIMMERMAN, Dan",USA,£371
249,287,"SPEDDING, Garry",England,£350
267,287,"WHITE, Lee",England,£350
287,287,"BLUNDELL,Tony",England,£350
287,287,"EAMES, Ian",England,£350
287,287,"HILL, Frazer",England,£350
287,287,"MACKAY,Dave",Australia,£350
287,287,"MILLER, Chippy",Australia,£350
287,287,"NEIGHBOUR,Paul",Australia,£350
429,287,"PEARSON,Andy",England,£350
287,287,"SIM,Daniel",Australia,£350
294,297,"AVCI,Ali",Germany,£333
294,297,"HAUT,Detlev",Germany,£333
294,297,"HEROLD, Mike",Germany,£333
294,297,"KAPUCIAN,Martin",Germany,£333
294,297,"MARTIN,Lars",Germany,£333
299,302,"CHANEY, Joe",USA,£325
300,303,"COMIOTTO, Adriano",Germany,£321
300,303,"HÖNTSCH, Tobias",Germany,£321
300,303,"KREMER, Gerhard",Germany,£321
300,303,"VOGT, Ingo",Germany,£321
304,307,"CRUZ,Francisco",Spain,£300
304,307,"HELDER,Michael",Germany,£300
304,307,"HUYBRECHTS, Kim",Belgium,£300
304,307,"JONES,Mark",England,£300
304,307,"KREMER,Boris",Germany,£300
304,307,"LANE,Stephen",England,£300
304,307,"LONG,Jim",Canada,£300
304,307,"NEWMAN,Jim",USA,£300
,307,"PADGETT,Matt",England,£300
