Aktuelle Position,Name,Preisgeld
1,Michael van Gerwen,"£1,494,750"
2,Peter Wright,"£1,011,000"
3,Gerwyn Price,"£832,500"
4,Michael Smith,"£601,750"
5,Rob Cross,"£536,000"
6,Nathan Aspinall,"£532,750"
7,James Wade,"£442,500"
8,Dave Chisnall,"£390,750"
9,Dimitri Van den Bergh,"£377,750"
10,Ian White,"£358,500"
11,Daryl Gurney,"£333,500"
12,Glen Durrant,"£322,750"
13,Gary Anderson,"£321,250"
14,Jose de Sousa,"£289,250"
15,Krzysztof Ratajski,"£282,000"
16,Joe Cullen,"£271,500"
17,Jonny Clayton,"£253,000"
18,Simon Whitlock,"£252,000"
19,Mervyn King,"£248,250"
20,Mensur Suljovic,"£247,250"
21,Adrian Lewis,"£228,750"
22,Chris Dobey,"£219,000"
23,Jeffrey de Zwaan,"£211,000"
24,Jermaine Wattimena,"£205,000"
25,Danny Noppert,"£197,250"
26,Stephen Bunting,"£192,500"
27,Vincent van der Voort,"£178,000"
28,Jamie Hughes,"£173,750"
29,Devon Petersen,"£170,750"
30,Brendan Dolan,"£168,250"
31,Gabriel Clemens,"£165,000"
32,Ricky Evans,"£163,500"
33,Steve Beaton,"£160,750"
34,Luke Humphries,"£160,000"
35,Keegan Brown,"£152,250"
36,William O'Connor,"£149,000"
37,Ryan Joyce,"£138,750"
38,Ryan Searle,"£134,000"
39,Kim Huybrechts,"£133,750"
40,Max Hopp,"£133,750"
41,John Henderson,"£133,500"
42,Ross Smith,"£121,000"
43,Dirk van Duijvenbode,"£118,000"
44,Darren Webster,"£111,000"
45,Steve West,"£109,250"
46,Darius Labanauskas,"£101,250"
47,Steve Lennon,"£85,000"
48,Justin Pipe,"£80,250"
49,Ron Meulenkamp,"£79,000"
50,Josh Payne,"£78,000"
51,Luke Woodhouse,"£76,500"
52,Jelle Klaasen,"£76,000"
53,Kyle Anderson,"£74,250"
54,Cristo Reyes,"£74,000"
55,Benito van de Pas,"£71,000"
56,Damon Heta,"£64,750"
57,James Wilson,"£59,750"
58,Andy Boulton,"£57,750"
59,Mickey Mansell,"£57,500"
