Aktuelle Position,Name,Preisgeld
1,Gerwyn Price,"£1,176,750"
2,Peter Wright,"£1,144,500"
3,Michael van Gerwen,"£900,750"
4,Michael Smith,"£758,500"
5,Luke Humphries,"£498,500"
6,Rob Cross,"£492,000"
7,Jonny Clayton,"£457,750"
8,James Wade,"£450,000"
9,Danny Noppert,"£449,750"
10,Nathan Aspinall,"£441,500"
11,Gary Anderson,"£410,750"
12,Dave Chisnall,"£369,000"
13,Joe Cullen,"£367,750"
14,Dirk van Duijvenbode,"£365,250"
15,Dimitri Van den Bergh,"£346,750"
16,Ryan Searle,"£337,500"
17,Jose de Sousa,"£330,000"
18,Krzysztof Ratajski,"£306,750"
19,Ross Smith,"£294,750"
20,Damon Heta,"£293,750"
21,Stephen Bunting,"£282,750"
22,Chris Dobey,"£249,000"
23,Callan Rydz,"£233,500"
24,Daryl Gurney,"£230,250"
25,Gabriel Clemens,"£221,250"
26,Brendan Dolan,"£219,750"
27,Mervyn King,"£184,250"
28,Vincent van der Voort,"£175,750"
29,Martin Schindler,"£164,250"
30,Mensur Suljovic,"£157,500"
31,Kim Huybrechts,"£153,750"
32,Raymond van Barneveld,"£140,750"
33,Adrian Lewis,"£139,750"
34,Madars Razma,"£138,500"
35,Simon Whitlock,"£133,500"
36,Alan Soutar,"£126,500"
37,William O'Connor,"£124,000"
38,Ian White,"£121,250"
39,Jermaine Wattimena,"£113,750"
40,Ryan Joyce,"£111,750"
41,Martin Lukeman,"£107,500"
42,Ricky Evans,"£105,000"
43,Devon Petersen,"£104,250"
44,Martijn Kleermaker,"£104,000"
45,Keane Barry,"£103,000"
46,Andrew Gilding,"£98,500"
47,Josh Rock,"£94,000"
48,Ryan Meikle,"£89,500"
49,Ritchie Edhouse,"£89,250"
50,Luke Woodhouse,"£85,000"
51,Jamie Hughes,"£82,500"
52,Darius Labanauskas,"£82,250"
53,Steve Beaton,"£80,000"
54,Steve Lennon,"£80,000"
55,Glen Durrant,"£76,500"
56,Rowby-John Rodriguez,"£75,250"
57,Mike De Decker,"£73,000"
58,Boris Krcmar,"£73,000"
59,Ron Meulenkamp,"£71,750"
60,Florian Hempel,"£71,000"
61,Jason Lowe,"£69,250"
62,Adam Hunt,"£67,500"
63,Jeff Smith,"£64,250"
64,Keegan Brown,"£63,750"
65,Maik Kuivenhoven,"£61,750"
66,Scott Williams,"£58,000"
67,Joe Murnan,"£57,000"
68,Andy Boulton,"£55,750"
69,John Henderson,"£53,500"
70,Lewy Williams,"£52,000"
71,Scott Mitchell,"£50,000"
72,William Borland,"£49,500"
73,Adam Gawlas,"£49,250"
74,Jeffrey de Zwaan,"£48,000"
75,Max Hopp,"£46,250"
76,Niels Zonneveld,"£43,500"
77,Jim Williams,"£43,250"
78,Geert Nentjes,"£41,000"
79,Jason Heaver,"£41,000"
80,Matt Campbell,"£40,250"
81,Steve West,"£38,750"
82,Karel Sedlacek,"£36,500"
83,Danny Jansen,"£33,250"
84,Cameron Menzies,"£32,750"
85,Gordon Mathers,"£31,750"
86,Boris Koltsov,"£31,750"
87,Nathan Rafferty,"£30,750"
88,Mickey Mansell,"£29,250"
89,John O’Shea,"£29,000"
90,Scott Waites,"£26,750"
91,Berry van Peer,"£26,500"
92,Peter Hudson,"£24,750"
93,Kevin Doets,"£24,500"
94,Ricardo Pietreczko,"£23,000"
95,Danny Baggish,"£22,500"
96,Eddie Lovely,"£22,250"
97,Gian van Veen,"£22,000"
98,Ted Evetts,"£22,000"
99,John Michael,"£21,000"
100,Mario Vandenbogaerde,"£20,250"
101,Connor Scutt,"£19,500"
102,Jon Worsley,"£19,000"
103,Geert De Vos,"£19,000"
104,Krzysztof Kciuk,"£18,000"
105,Brian Raman,"£17,500"
106,Rusty-Jake Rodriguez,"£17,250"
107,Wesley Plaisier,"£16,750"
108,Radek Szaganski,"£16,500"
109,Brett Claydon,"£16,500"
110,Jack Main,"£16,500"
111,Sebastian Bialecki,"£16,500"
112,Jose Justicia,"£15,500"
113,George Killington,"£15,250"
114,James Wilson,"£15,000"
115,Shaun Wilkinson,"£14,750"
116,Richie Burnett,"£14,500"
117,Luc Peters,"£13,000"
118,Lee Evans,"£12,750"
119,Damian Mol,"£12,250"
120,David Evans,"£11,750"
121,Lukas Wenig,"£11,750"
122,Tony Martinez,"£11,250"
123,Bradley Brooks,"£11,250"
124,Jimmy Hendriks,"£11,000"
125,Jamie Clark,"£11,000"
126,Zoran Lerchbacher,"£10,750"
127,Danny van Trijp,"£10,500"
128,Kevin Burness,"£10,250"
129,John Brown,"£10,250"
130,Ross Montgomery,"£9,750"
131,Jake Jones,"£9,250"
132,Stephen Burton,"£9,250"
133,Jules van Dongen,"£8,750"
134,Jelle Klaasen,"£8,000"
135,Robert Owen,"£8,000"
136,Nick Fullwell,"£7,250"
137,Daniel Larsson,"£7,000"
138,Darren Webster,"£6,500"
139,Kenny Neyens,"£6,250"
140,Pete Burgoyne,"£6,000"
141,Dragutin Horvat,"£6,000"
142,Thibault Tricole,"£5,250"
143,Christian Perez,"£5,000"
144,Fallon Sherrock,"£5,000"
145,Leonard Gates,"£5,000"
146,Lisa Ashton,"£5,000"
147,Dennis Nilsson,"£5,000"
148,Matthew Edgar,"£4,250"
149,Gary Blades,"£4,250"
150,Michael Unterbuchner,"£4,250"
151,Jim McEwan,"£4,000"
152,Johan Engstrom,"£4,000"
153,Niko Springer,"£4,000"
154,Scott Marsh,"£3,250"
155,Darren Penhall,"£3,250"
156,Stefan Bellmont,"£3,000"
