Vorige Position,Aktuelle Position,,Name,Nationalität,Preisgeld
125,125,↔,"Hunt,Adam",England,£1.600
125,125,↔,"Hutchings, Andy",England,£1.600
125,125,↔,"Maes, Rocco",Belgium,£1.600
129,129,↔,"Jopling, Ian",England,£1.400
129,129,↔,"Kantele, Marko",Finland,£1.400
129,129,↔,"Mann, Jimmy",England,£1.400
132,132,↔,"Bache,Nick",England,£1.200
132,132,↔,"Whitworth, Geoff",England,£1.200
134,134,↔,"Bezzeg, Nandor",Hungary,£1.000
134,134,↔,"Birch, Nigel",England,£1.000
134,134,↔,"Burt, Simon",England,£1.000
134,134,↔,"Eastwood, Gary",England,£1.000
134,134,↔,"O'Shea,John",Ireland,£1.000
134,134,↔,"Rowley, Paul",England,£1.000
134,134,↔,"Tremblay,Norman",Canada,£1.000
141,141,↔,"Davey,Bruce",Canada,£800
141,141,↔,"Dobson, Kenny",England,£800
141,141,↔,"Krcmar,Boris",Croatia,£800
141,141,↔,"Munch,Kevin",Germany,£800
145,145,↔,"Eijden,Van Remco",Netherlands,£600
145,145,↔,"Hoffmann, Jann",Denmark,£600
145,145,↔,"Okken,Johnny",Netherlands,£600
145,145,↔,"Sinnaeve,Robert",Canada,£600
145,145,↔,"Smith,Jeff",Canada,£600
145,145,↔,"Snook,Ross",Canada,£600
145,145,↔,"Viinikka,Veijo",Finland,£600
152,152,↔,"Adler,Jonas",Switzerland,£400
152,152,↔,"Bolitho,Adrian",England,£400
152,152,↔,"Bulen,Patrick",Belgium,£400
152,152,↔,"Cameron,Dave",Canada,£400
152,152,↔,"Clifford,Darren",Ireland,£400
152,152,↔,"Coyne,David",Ireland,£400
152,152,↔,"Davis, Bill",USA,£400
152,152,↔,"Glidden,Garry",Canada,£400
152,152,↔,"Harrington,Ryan",England,£400
152,152,↔,"Hendriks, Jerry",Netherlands,£400
152,152,↔,"Holmes,Nick",Canada,£400
152,152,↔,"Hopic, Ruzdya",Netherlands,£400
152,152,↔,"Jasinski,Russell",USA,£400
152,152,↔,"Kehoe, Kieran",Ireland,£400
152,152,↔,"Kelliher,Jamie",Ireland,£400
152,152,↔,"Langendorf,Maik",Austria,£400
152,152,↔,"Lauby II, Dan",USA,£400
152,152,↔,"Long,Jim",Canada,£400
152,152,↔,"Meijden, van der Gilbert",Netherlands,£400
152,152,↔,"Molyneux,Pat",Ireland,£400
152,152,↔,"Palfreyman,Lee",England,£400
152,152,↔,"Pearce, Andy",England,£400
152,152,↔,"Quinn,Peter",Ireland,£400
152,152,↔,"Relf, Andy",England,£400
152,152,↔,"Renkema,Erwin",Netherlands,£400
152,152,↔,"Restovic,Tonci",Croatia,£400
152,152,↔,"Rice, Colin",Germany,£400
152,152,↔,"Scutt,Chris",Canada,£400
152,152,↔,"Tremblay,Martin",Canada,£400
152,152,↔,"Wagner,Robert",Austria,£400
182,182,↔,"Allen, Sam",England,£200
182,182,↔,"Archer, Jon",England,£200
182,182,↔,"Atkins, Jamie",England,£200
182,182,↔,"Barlow,Jayson",Canada,£200
182,182,↔,"Biemans, Bobby",Netherlands,£200
182,182,↔,"Bolduc,Paul",Canada,£200
182,182,↔,"Brenneman,Shawn",Canada,£200
182,182,↔,"Brown,Stuart",Canada,£200
182,182,↔,"Byrne,Joe",Ireland,£200
182,182,↔,"Byrne,Stephen",Ireland,£200
182,182,↔,"Carlson,Paul",Canada,£200
182,182,↔,"Claydon,Darrell",England,£200
182,182,↔,"Collins,Augustus",Canada,£200
182,182,↔,"Corner,Richie",England,£200
182,182,↔,"Dowdall,John-Paul",,£200
182,182,↔,"Dragstra,Wayne",Canada,£200
182,182,↔,"Duivenbode, van Dirk",Netherlands,£200
182,182,↔,"Fick,Wayne",Canada,£200
182,182,↔,"Gibson,Bill",Canada,£200
182,182,↔,"Gorjup,Gregor",Slovenia,£200
182,182,↔,"Harrington,Todd",USA,£200
182,182,↔,"Henderson,John",Canada,£200
182,182,↔,"Herlihy,John",Ireland,£200
182,182,↔,"Herrington,Ryan",England,£200
182,182,↔,"Hewetson,Pete",Canada,£200
182,182,↔,"Hibbert,Andrew",England,£200
182,182,↔,"Holland,Stephen",,£200
182,182,↔,"Hope,Tim",England,£200
182,182,↔,"Hurley,Mark",Ireland,£200
182,182,↔,"Jackson,Campbell",N.-Ireland,£200
182,182,↔,"Jones,Dean",England,£200
182,182,↔,"Jones,Simon",England,£200
182,182,↔,"Kallinger,Christian",Austria,£200
182,182,↔,"Kavanagh,Jason",Ireland,£200
182,182,↔,"Kelly,Robert",Ireland,£200
182,182,↔,"Knoops,Wichard",Netherlands,£200
182,182,↔,"Kruger,Christian",Germany,£200
182,182,↔,"Kuczynski,John",USA,£200
182,182,↔,"Latimer,Dennis",Canada,£200
182,182,↔,"Lim,Paul",USA,£200
182,182,↔,"Logan,Gobby",Canada,£200
182,182,↔,"Luck,Stefanie",Germany,£200
182,182,↔,"Marijanovic, Robert",Croatia,£200
182,182,↔,"Martin,Peter",England,£200
182,182,↔,"Masse,Guy",Canada,£200
182,182,↔,"Max, Edwin",Netherlands,£200
182,182,↔,"McDonald,Andrew Frederick",Canada,£200
182,182,↔,"McDonnell,Kevin",Ireland,£200
182,182,↔,"McGuire,Lee",Canada,£200
182,182,↔,"McInnis,Colin",Canada,£200
182,182,↔,"Meaney,Paddy",Ireland,£200
182,182,↔,"Mills,Mike",Canada,£200
182,182,↔,"Morgenroth,Fred",Canada,£200
182,182,↔,"Moskwyn,Al",Canada,£200
182,182,↔,"Neilson,Bill",Canada,£200
182,182,↔,"Noble,Jeff",Canada,£200
182,182,↔,"Nott,Michael",England,£200
182,182,↔,"Olson,Dan",Canada,£200
182,182,↔,"O'Reilly,Tom",Ireland,£200
182,182,↔,"Pankow,Chuck",USA,£200
182,182,↔,"Patterson,John",Canada,£200
182,182,↔,"Pearson, Andy",England,£200
182,182,↔,"Robinson, Harry",England,£200
182,182,↔,"Santamaria,Martin",Spain,£200
182,182,↔,"Sheridan,Michael",Canada,£200
182,182,↔,"Tupuschis, Olaf",Germany,£200
182,182,↔,"Venken,Davyd",Belgium,£200
182,182,↔,"White,Chris",USA,£200
182,182,↔,"Wright,Greg",Canada,£200
251,251,↔,"Abascal, Juan",Spain,£0
251,251,↔,"Acs, Juan Jose",Spain,£0
251,251,↔,"Addison,Paul",Canada,£0
251,251,↔,"Albaladejo, Juan Carlos",Spain,£0
251,251,↔,"Almazan, Jesus",Spain,£0
251,251,↔,"Andersen,Vladimir",Denmark,£0
251,251,↔,"Angeli,Wolfgang",Austria,£0
251,251,↔,"Anibarro, Jose Maria",Spain,£0
251,251,↔,"Antunovic ,Zdravko",Croatia,£0
251,251,↔,"Aringer,Herbert",Austria,£0
251,251,↔,"Astle,Simon",England,£0
251,251,↔,"Atwill, Ron",England,£0
251,251,↔,"Aufmhoff,Jorg",Germany,£0
251,251,↔,"Avdija,Armend",,£0
251,251,↔,"Bacher,Uwe",Austria,£0
251,251,↔,"Bachmeier,Christian",Germany,£0
251,251,↔,"Balzer,Marko",Germany,£0
251,251,↔,"Bambrick,Kevin",England,£0
251,251,↔,"Barba, Yolanda",Spain,£0
251,251,↔,"Barbero, Julio",Spain,£0
251,251,↔,"Barchanowitz,Detief",Germany,£0
251,251,↔,"Bartels,Robert-Jan",Netherlands,£0
251,251,↔,"Bas, Fernando",Spain,£0
251,251,↔,"Basullas, Ignacio",Spain,£0
251,251,↔,"Batterton,David",Canada,£0
251,251,↔,"Bauerlein, Daniel",Germany,£0
251,251,↔,"Bauske, Frank",Germany,£0
251,251,↔,"Bedy,Milos",Slovakia,£0
251,251,↔,"Beganovic,Jasmin",Croatia,£0
251,251,↔,"Beltran Alfonso, Abraham",Spain,£0
251,251,↔,"Benseler,Hans-Peter",Austria,£0
251,251,↔,"Bevan, Martyn",England,£0
251,251,↔,"Binder,Karl",Austria,£0
251,251,↔,"Bliss,Daniel",Germany,£0
251,251,↔,"Blomenkamp, Jorg",Germany,£0
251,251,↔,"Blundell, Tony",England,£0
251,251,↔,"Boehm,Doug",USA,£0
251,251,↔,"Boussen,Sean",Canada,£0
251,251,↔,"Bowes,William",Ireland,£0
251,251,↔,"Bracken,Johnyy",,£0
251,251,↔,"Bracken,Robert",,£0
251,251,↔,"Brandl,Alexander",Germany,£0
251,251,↔,"Braumer,Christian",Germany,£0
251,251,↔,"Briggs,Jack",Canada,£0
251,251,↔,"Briggs,Jennifer",Canada,£0
251,251,↔,"Briggs,John",Canada,£0
251,251,↔,"Bromberg,Stacy",USA,£0
251,251,↔,"Broomhead,Gary",Canada,£0
251,251,↔,"Burger,Dietmar",Austria,£0
251,251,↔,"Burgstaller, Anton",Germany,£0
251,251,↔,"Bushby,Michael",England,£0
251,251,↔,"Butler,Larry",USA,£0
251,251,↔,"Butler,Stephen",Ireland,£0
251,251,↔,"Byrne,Des",Ireland,£0
251,251,↔,"Byrne,Jason",Ireland,£0
251,251,↔,"Byrne,Mike",Ireland,£0
251,251,↔,"Byrne,PJ",Ireland,£0
251,251,↔,"Cadeau,Chris",Canada,£0
251,251,↔,Campbell.Aiden,Ireland,£0
251,251,↔,"Canning,Noel",Ireland,£0
251,251,↔,"Carter, Mark",England,£0
251,251,↔,"Chojnowski,Jimmy",England,£0
251,251,↔,"Clements,Joe",Canada,£0
251,251,↔,"Coburn,Greg",Canada,£0
251,251,↔,"Cockings,Paul",Canada,£0
251,251,↔,"Collins,Laurence",,£0
251,251,↔,"Comerford, Tony",England,£0
251,251,↔,"Condron,Liam",Ireland,£0
251,251,↔,"Convery, Gerry",Canada,£0
251,251,↔,"Corella, Guillermo",Spain,£0
251,251,↔,"Corr,Dennis",Ireland,£0
251,251,↔,"Craven, Simon",England,£0
251,251,↔,"Crook,Dennis",Ireland,£0
251,251,↔,"Croskery,Manuel",Ireland,£0
251,251,↔,"Csonka,Justin",Canada,£0
251,251,↔,"Cupitt, Steve",England,£0
251,251,↔,"Cuthbertson,Matt",Canada,£0
251,251,↔,"Dame, Hendrik",Germany,£0
251,251,↔,"Davenport,Andrew",,£0
251,251,↔,"Davidson,Paul",,£0
251,251,↔,"Dera, Rico",Netherlands,£0
251,251,↔,"Derkse, Joost",Germany,£0
251,251,↔,"Desrosiers,Mark",Canada,£0
251,251,↔,"Devers,Martin",,£0
251,251,↔,"Dewilde,Victor",Canada,£0
251,251,↔,"Digan,John",Ireland,£0
251,251,↔,"Dijk, van Dick",Netherlands,£0
251,251,↔,"Dixon,Gordon",Canada,£0
251,251,↔,"Doherty,James",Ireland,£0
251,251,↔,"Doohan,Jim",Canada,£0
251,251,↔,"Doyle,Frank",Canada,£0
251,251,↔,"Drtil,Pavel",Czech Rep,£0
251,251,↔,"Dukic,Vedran",,£0
251,251,↔,"Duran, Dani",Spain,£0
251,251,↔,"Earl,Alex",Canada,£0
251,251,↔,"Ebbers, Ted",Netherlands,£0
251,251,↔,"Edmonds, Peter",England,£0
251,251,↔,"Egan,Mike",Ireland,£0
251,251,↔,"Eisentrager,Frank",Germany,£0
251,251,↔,"Erkelenz,Lars",,£0
251,251,↔,"Ertl,Reinhard",Germany,£0
251,251,↔,"Esser, Marvin",Germany,£0
251,251,↔,"Fernandez, Manuel",Spain,£0
251,251,↔,"Ferrell,John",England,£0
251,251,↔,"Fichtinger,Gerhard",Germany,£0
251,251,↔,"Findley,Nicholas",Canada,£0
251,251,↔,"Fink,Pierre",Germany,£0
251,251,↔,"Finnan,Connie",Ireland,£0
251,251,↔,"Fischer,Manual",Austria,£0
251,251,↔,"Fiss,Olaf",,£0
251,251,↔,"Fitzpatrick,Glen",Ireland,£0
251,251,↔,"Flaser,Franz",Austria,£0
251,251,↔,"Fleming,Martin",,£0
251,251,↔,"Fletcher, Norman",England,£0
251,251,↔,"Fletzberger,Reinhard",,£0
251,251,↔,"Flonner,Josef",Austria,£0
251,251,↔,"Fordham, Andy",England,£0
251,251,↔,"Fraser,Glenn",Canada,£0
251,251,↔,"Freiberger,Lothar",Germany,£0
251,251,↔,"Freidl,Christian",Germany,£0
251,251,↔,"Freistatter,Roland",,£0
251,251,↔,"Frias, Armando",Spain,£0
251,251,↔,"Frick,Bernd",Germany,£0
251,251,↔,"Friedel, Jurgen",Germany,£0
251,251,↔,"Fruhmann,Reinhard",Germany,£0
251,251,↔,"Fulton, Andy",England,£0
251,251,↔,"Galcere, Jario",Spain,£0
251,251,↔,"Gallinat,Heiko",Germany,£0
251,251,↔,"Garbayo, Carlos",Spain,£0
251,251,↔,"Garcia Toquero, Javier",Spain,£0
251,251,↔,"Garcia, Enrique",Spain,£0
251,251,↔,"Garcia, Gregorio",Spain,£0
251,251,↔,"Garcia, Sergio",Spain,£0
251,251,↔,"Geissler,Mario",,£0
251,251,↔,"Gillett,Mike",England,£0
251,251,↔,"Gionson,Juanito",Philippines,£0
251,251,↔,"Gomez, Jesus",Spain,£0
251,251,↔,"Goncalves, Alvano",Spain,£0
251,251,↔,"Gonzales, Eduardo",Spain,£0
251,251,↔,"Götze, Oliver",Germany,£0
251,251,↔,"Grace,Benny",Ireland,£0
251,251,↔,"Graton,James",USA,£0
251,251,↔,"Greebe,Toon",Netherlands,£0
251,251,↔,"Greenwood,Chris",Canada,£0
251,251,↔,"Grelha, Filip",Spain,£0
251,251,↔,"Griffiths,Edwin",Wales,£0
251,251,↔,"Groteloh,Rene",,£0
251,251,↔,"Guidi, Andrea",Italy,£0
