Aktuelle Position,Name,Preisgeld
1,Michael van Gerwen,"£1,491,750"
2,Rob Cross,"£979,750"
3,Gerwyn Price,"£689,250"
4,Michael Smith,"£575,500"
5,Gary Anderson,"£536,500"
6,Daryl Gurney,"£463,250"
7,Peter Wright,"£463,000"
8,James Wade,"£432,750"
9,Ian White,"£400,500"
10,Dave Chisnall,"£389,750"
11,Mensur Suljovic,"£364,500"
12,Nathan Aspinall,"£350,250"
13,Adrian Lewis,"£270,000"
14,Simon Whitlock,"£264,250"
15,Joe Cullen,"£253,500"
16,Jonny Clayton,"£240,750"
17,Stephen Bunting,"£227,500"
18,Jermaine Wattimena,"£227,500"
19,Mervyn King,"£221,000"
20,Darren Webster,"£220,250"
21,Krzysztof Ratajski,"£220,250"
22,Chris Dobey,"£215,500"
23,Jeffrey de Zwaan,"£203,250"
24,Max Hopp,"£195,000"
25,Steve Beaton,"£189,750"
26,Keegan Brown,"£186,250"
27,Glen Durrant,"£176,500"
28,Steve West,"£174,750"
29,Dimitri Van den Bergh,"£174,250"
30,John Henderson,"£174,250"
31,Danny Noppert,"£172,500"
32,Ricky Evans,"£167,000"
33,Vincent van der Voort,"£163,250"
34,Jamie Lewis,"£157,250"
35,Brendan Dolan,"£147,250"
36,James Wilson,"£147,000"
37,William O'Connor,"£132,000"
38,Steve Lennon,"£127,250"
39,Kyle Anderson,"£127,250"
40,Raymond van Barneveld,"£126,750"
41,Kim Huybrechts,"£125,250"
42,Gabriel Clemens,"£120,500"
43,Ryan Joyce,"£111,250"
44,Cristo Reyes,"£108,000"
45,Josh Payne,"£102,000"
46,Luke Humphries,"£100,000"
47,Jamie Hughes,"£98,250"
48,Jelle Klaasen,"£97,750"
49,Ross Smith,"£95,500"
50,Martin Schindler,"£93,000"
51,Ron Meulenkamp,"£92,250"
52,Ryan Searle,"£88,500"
53,Richard North,"£88,000"
54,Toni Alcinas,"£86,000"
55,Robert Thornton,"£83,250"
56,Justin Pipe,"£79,000"
57,Jan Dekker,"£76,500"
58,Alan Norris,"£73,000"
59,Benito van de Pas,"£72,250"
60,Devon Petersen,"£69,250"
61,James Richardson,"£65,750"
62,Mickey Mansell,"£63,250"
63,Corey Cadby,"£62,500"
64,Jose de Sousa,"£56,250"
64,Simon Stevenson,"£56,250"
66,Matthew Edgar,"£52,500"
67,Alan Tabern,"£49,500"
68,Mark Webster,"£48,500"
69,Luke Woodhouse,"£42,500"
70,Ryan Meikle,"£42,250"
71,Zoran Lerchbacher,"£41,500"
72,Robert Owen,"£41,000"
73,Wayne Jones,"£37,250"
74,Adam Hunt,"£37,000"
75,Arron Monk,"£35,000"
76,Harry Ward,"£34,250"
77,Ted Evetts,"£34,000"
78,Christian Kist,"£29,750"
78,Robert MarIjanovic,"£29,750"
80,Andy Boulton,"£28,250"
81,Ronny Huybrechts,"£27,750"
82,Darius Labanauskas,"£27,500"
83,Dirk van Duijvenbode,"£26,750"
84,Ryan Harrington,"£25,750"
85,Mark McGeeney,"£24,500"
86,Tytus Kanik,"£24,000"
87,Kevin Burness,"£23,500"
88,Ritchie Edhouse,"£22,000"
89,Bradley Brooks,"£21,000"
90,Peter Hudson,"£20,500"
91,Madars Razma,"£19,000"
92,Jose Justicia,"£18,750"
93,Rowby-John Rodriguez,"£18,500"
94,Davy Van Baelen,"£17,500"
95,Scott Baker,"£17,000"
96,Gavin Carlin,"£16,250"
97,Mario Robbe,"£15,750"
98,Joe Murnan,"£15,000"
98,Scott Taylor,"£15,000"
100,Mark Wilson,"£14,000"
101,Mark Dudbridge,"£13,750"
102,Conan Whitehead,"£13,000"
102,Kirk Shepherd,"£13,000"
104,Boris Koltsov,"£12,250"
105,Vincent Kamphuis,"£11,500"
106,Cody Harris,"£11,000"
106,Reece Robinson,"£11,000"
106,Geert Nentjes,"£11,000"
109,George Killington,"£10,750"
110,Dawson Murschell,"£10,500"
111,Andrew Gilding,"£10,000"
111,Matt Clark,"£10,000"
111,Christian Bunse,"£10,000"
111,Adrian Gray,"£10,000"
115,David Pallett,"£9,500"
116,Yordi Meeuwisse,"£9,000"
116,Carl Wilkinson,"£9,000"
116,Mike De Decker,"£9,000"
119,Marko Kantele,"£8,500"
119,Vincent van der Meer,"£8,500"
121,Tony Newell,"£8,250"
122,Stephen Burton,"£8,000"
122,Nathan Rafferty,"£8,000"
124,Maik Kuivenhoven,"£7,500"
125,Callan Rydz,"£7,250"
126,Niels Zonneveld,"£7,000"
126,John Michael,"£7,000"
126,Michael Rosenauer,"£7,000"
126,Gary Eastwood,"£7,000"
126,Dennis Nilsson,"£7,000"
126,Karel Sedlacek,"£7,000"
126,Nathan Derry,"£7,000"
133,Barrie Bates,"£6,500"
133,Jonathan Worsley,"£6,500"
135,Dave Prins,"£6,000"
136,Terry Temple,"£5,500"
136,Diogo Portela,"£5,500"
138,Wessel Nijman,"£5,000"
138,Mike van Duivenbode,"£5,000"
138,Jamie Bain,"£5,000"
138,Steffen Siepmann,"£5,000"
138,Cameron Menzies,"£5,000"
138,Michael Rasztovits,"£5,000"
144,John Goldie,"£4,750"
145,Andy Jenkins,"£4,250"
145,Eddie Dootson,"£4,250"
147,Krzysztof Kciuk,"£4,000"
147,Wesley Plaisier,"£4,000"
149,Berry van Peer,"£3,500"
149,Danny van Trijp,"£3,500"
151,Karsten Koch,"£3,000"
151,Florian Hempel,"£3,000"
151,Dietmar Burger,"£3,000"
151,Kevin Munch,"£3,000"
151,Jyhan Artut,"£3,000"
151,Kim Viljanen,"£3,000"
151,Mick Todd,"£3,000"
151,Pavel Jirkal,"£3,000"
159,Martin Atkins (Leeds),"£2,500"
160,David Francis,"£2,000"
160,Dyson Parody,"£2,000"
160,Paul Rowley,"£2,000"
160,Cor Dekker,"£2,000"
160,Brett Claydon,"£2,000"
160,Daniel Larsson,"£2,000"
160,Marvin Wehder,"£2,000"
160,Adam Gawlas,"£2,000"
160,Rusty-Jake Rodriguez,"£2,000"
160,Dragutin Horvat,"£2,000"
160,Jerry Hendriks,"£2,000"
160,Kevin Knopf,"£2,000"
160,Mark Barilli,"£2,000"
160,Matthew Dennant,"£2,000"
160,Michael Hurtz,"£2,000"
160,Per Laursen,"£2,000"
160,Stefan Bellmont,"£2,000"
160,William Borland,"£2,000"
178,David Evans,"£1,500"
178,Adam Huckvale,"£1,500"
178,Jesus Noguera,"£1,500"
178,Patrick van den Boogaard,"£1,500"
178,Shaun Carroll,"£1,500"
183,Darren Johnson,"£1,000"
183,Antony Lopez,"£1,000"
183,Justin Hewitt,"£1,000"
183,Kyle McKinstry,"£1,000"
183,Christian Jentschke,"£1,000"
183,Davyd Venken,"£1,000"
183,Manfred Bilderl,"£1,000"
183,Mike Poge,"£1,000"
183,Ole Luckow,"£1,000"
183,Michael Barnard,"£1,000"
183,Alex Steinbauer,"£1,000"
183,Christian Goedl,"£1,000"
183,Hannes Schnier,"£1,000"
183,Alexander Merkx,"£1,000"
183,Benjamin Fasching,"£1,000"
183,Daniel Klose,"£1,000"
183,Erik Hol,"£1,000"
183,Fabian Herz,"£1,000"
183,Jan Hlavacek,"£1,000"
183,Jason Wilson,"£1,000"
183,Jimmy Hendriks,"£1,000"
183,Johan Engstrom,"£1,000"
183,Justin Smith,"£1,000"
183,Kevin Garcia,"£1,000"
183,Lukas Wenig,"£1,000"
183,Magnus Caris,"£1,000"
183,Maik Langendorf,"£1,000"
183,Marko Puls,"£1,000"
183,Mike Holz,"£1,000"
183,Nico Kurz,"£1,000"
183,Niels-Joergen Hansen,"£1,000"
183,Ondrej Plsek,"£1,000"
183,Pal Szekely,"£1,000"
183,Patrick Tringler,"£1,000"
183,Pero Ljubic,"£1,000"
183,Ricardo Pietreczko,"£1,000"
183,Ricky Williams,"£1,000"
183,Sebastian Steyer,"£1,000"
183,Teuvo Haverinen,"£1,000"
183,Thomas Kohnlein,"£1,000"
183,Vaclav Schieferdecker,"£1,000"
