Vorige Position,Aktuelle Position,Name,Nationalität,Preisgeld
1,1,"Taylor, Phil",England,"581,100£"
2,2,"Lewis, Adrian",England,"534,100£"
3,3,"Wade, James",England,"295,500£"
5,4,"Whitlock, Simon",Australia,"264,000£"
4,5,"Anderson, Gary",Scotland,"245,900£"
6,6,"Newton, Wesley",England,"237,400£"
7,7,"van Gerwen, Michael",Netherlands,"230,300£"
8,8,"Hamilton, Andy",England,"227,500£"
11,9,"Pipe, Justin",England,"180,400£"
9,10,"Jenkins, Terry",England,"175,700£"
10,11,"Webster, Mark",Wales,"174,000£"
12,12,"Chisnall,Dave",England,"170,000£"
13,13,"van Barneveld, Raymond",Netherlands,"168,800£"
14,14,"King, Mervyn",England,"154,300£"
15,15,"Painter, Kevin",England,"146,200£"
16,16,"Nicholson, Paul",Australia,"143,900£"
17,17,"Thornton, Robert",Scotland,"141,200£"
18,18,"Baxter, Ronnie",England,"134,100£"
20,19,"Dolan, Brendan",Northern Ireland,"127,400£"
19,20,"van der Voort, Vincent",Netherlands,"126,300£"
27,21,"Huybrechts,Kim",Belgium,"118,000£"
22,22,"Walsh, Mark",England,"111,700£"
21,23,"Smith, Andy",England,"105,400£"
26,24,"Wright, Peter",Scotland,"104,700£"
23,25,"Lloyd, Colin",England,"102,600£"
24,26,"Part, John",Canada,"100,900£"
25,27,"Burnett, Richie",Wales,"96,200£"
28,28,"Osborne, Colin",England,"89,700£"
30,29,"Beaton, Steve",England,"82,700£"
32,30,"Jones, Wayne",England,"82,500£"
29,31,"Caven, Jamie",England,"80,000£"
31,32,"Ovens, Denis",England,"79,600£"
34,33,"White, Ian",England,"75,500£"
33,34,"Hylton, Mark",England,"73,100£"
35,35,"Brown, Steve",England,"63,700£"
36,36,"Tabern, Alan",England,"63,100£"
37,37,"Rand, Scott",England,"59,800£"
40,38,"Smith, Michael",England,"53,800£"
39,39,"Henderson,John",Scotland,"50,100£"
38,40,"Stompé, Co",Netherlands,"49,900£"
42,41,"Cullen, Joe",England,"43,500£"
44,42,"Klaasen, Jelle",Netherlands,"33,500£"
45,42,"Scholten, Roland",Netherlands,"33,500£"
40,44,"Farmer, Steve",England,"32,800£"
43,44,"Priestley, Dennis",England,"32,800£"
46,46,"Suljovic, Mensur",Austria,"32,600£"
48,47,"Heydon, Nigel",England,"31,700£"
49,48,"Smith, Dennis",England,"30,800£"
47,49,"Dudbridge, Mark",England,"28,900£"
50,50,"Winstanley, Dean",England,"26,600£"
51,51,"Richardson,James",England,"26,400£"
52,52,"Caris, Magnus",Sweden,"26,100£"
53,53,"Monk, Arron",England,"25,300£"
54,54,"Alcinas, Antonio",Spain,"23,400£"
55,55,"McDine, Kevin",England,"22,700£"
56,56,"O'Connor, William",Ireland,"21,600£"
57,57,"Mansell,Micky",Northern Ireland,"19,400£"
58,58,"Hubbard,James",England,"18,800£"
59,59,"Artut, Jyhan",Germany,"17,200£"
60,60,"Petersen,Devon",RSA,"16,800£"
61,61,"Hine, Steve",England,"16,400£"
62,62,"Roy, Alex",England,"16,000£"
63,63,"Evans, Steve",Wales,"15,300£"
64,64,"Hudson, Peter",England,"14,900£"
65,65,"Griffiths,Shaun",England,"14,800£"
67,66,"Shepherd, Kirk",England,"14,400£"
68,67,"Maish, Steve",England,"13,800£"
69,68,"Webster, Darren",England,"13,500£"
70,69,"Thompson, Chris",England,"13,000£"
71,70,"Woods,Brian",England,"11,800£"
66,71,"Bates, Barrie",Wales,"11,600£"
72,72,"Temple, Terry",England,"11,200£"
73,73,"Jones, Mark",England,"10,800£"
74,74,"Jiwa,Prakash",India,"9,600£"
75,75,"Rosenauer, Michael",Germany,"9,400£"
76,76,"Hendriks, Jerry",Netherlands,"8,800£"
77,77,"Vos, Gino",Netherlands,"8,000£"
78,78,"Haines, Johnny",England,"7,900£"
79,79,"Kellett, Stuart",England,"7,800£"
80,80,"Dowling, Kevin",England,"7,100£"
81,81,"Howson, Richie",England,"7,000£"
82,82,"Jenkins, Andy",England,"6,900£"
83,83,"Welge, Andre",Germany,"6,700£"
84,84,"Johnson, Darren",England,"6,500£"
84,84,"West, Tony",England,"6,500£"
86,86,Todd.Mick,England,"6,400£"
87,87,"Walker, Jim",Scotland,"6,300£"
88,88,"Fullwell, Nick",England,"6,000£"
89,89,"Gilding, Andrew",England,"5,800£"
90,90,"Ayres, Tony",England,"5,600£"
91,91,"Gray, Adrian",England,"5,000£"
91,91,"Hankey, Ted",England,"5,000£"
91,91,"Smith-Neale,Adam",England,"5,000£"
94,94,"Clark, Matt",England,"4,900£"
95,95,"Bowles, John",England,"4,800£"
95,95,"Parody, Dyson",Gibraltar,"4,800£"
97,97,"Barnard, Michael",England,"4,600£"
98,98,"Finnan,Connie",Ireland,"4,400£"
99,99,"Smith, Ross",England,"4,300£"
100,100,"Seyler, Tomas",Germany,"4,100£"
101,101,"Cousins, Gareth",England,"3,900£"
102,102,"Edgar,Matthew",England,"3,800£"
102,102,"Ladley, Dave",England,"3,800£"
102,102,"Lewis,Jamie",Wales,"3,800£"
105,105,"Brown,Andy",England,"3,700£"
106,106,"Crawley,Jason",England,"3,600£"
106,106,"Littleton, Tony",England,"3,600£"
108,108,"Stephen, Keith J",Scotland,"3,400£"
