Aktuelle Position,Name,Preisgeld
1,"Gerwen, Michael van","£1,542,000"
2,"Anderson, Gary","£830,500"
3,"Wright, Peter","£467,250"
4,"Taylor, Phil","£442,750"
5,"Lewis, Adrian","£419,500"
6,"Wade, James","£366,750"
7,"Chisnall, Dave","£328,500"
8,"Suljovic, Mensur","£315,250"
9,"Thornton, Robert","£301,750"
10,"Klaasen, Jelle","£296,500"
11,"Smith, Michael","£283,250"
12,"Barneveld, Raymond van","£279,500"
13,"Huybrechts, Kim","£264,000"
14,"White, Ian","£254,000"
15,"Pas, Benito van de","£244,500"
16,"Bunting, Stephen","£210,250"
17,"Whitlock, Simon","£199,750"
18,"Jenkins, Terry","£198,500"
19,"Price, Gerwyn","£180,000"
20,"Voort, Vincent van der","£178,750"
21,"Norris, Alan","£173,750"
22,"King, Mervyn","£162,750"
23,"Dolan, Brendan","£151,750"
24,"Gurney, Daryl","£149,750"
25,"Webster, Mark","£149,500"
26,"Pipe, Justin","£141,000"
27,"Beaton, Steve","£132,250"
28,"Anderson, Kyle","£130,750"
29,"Cullen, Joe","£123,000"
30,"Caven, Jamie","£122,000"
31,"Lewis, Jamie","£104,250"
32,"Henderson, John","£102,750"
33,"Reyes, Cristo","£101,750"
34,"Gilding, Andrew","£98,250"
35,"Webster, Darren","£94,250"
36,"Wilson, James","£86,250"
37,"Brown, Keegan","£82,250"
38,"Hopp, Max","£79,500"
38,"Kist, Christian","£79,500"
40,"Murnan, Joe","£78,750"
41,"Rodriguez, Rowby-John","£75,500"
42,"Hamilton, Andy","£71,500"
43,"Green, Robbie","£71,000"
44,"Huybrechts, Ronny","£69,250"
45,"West, Steve","£65,750"
46,"Painter, Kevin","£63,250"
47,"Dobey, Chris","£59,000"
48,"Payne, Josh","£57,750"
49,"Evans, Ricky","£55,000"
50,"Wattimena, Jermaine","£54,500"
50,"Pallett, David","£54,500"
52,"Petersen, Devon","£53,500"
53,"Bergh, Dimitri Van Den","£50,750"
54,"Newton, Wes","£45,750"
55,"Winstanley, Dean","£43,750"
56,"Dekker, Jan","£41,500"
56,"Duijvenbode, Dirk van","£41,500"
58,"Boulton, Andy","£39,000"
58,"Zwaan, Jeffrey de","£39,000"
60,"Clayton, Jonny","£37,250"
61,"Baxter, Ronnie","£35,000"
62,"Mansell, Mickey","£34,250"
63,"Jones, Wayne","£33,500"
64,"Artut, Jyhan","£33,000"
65,"Jenkins, Andy","£32,500"
66,"Kellett, Stuart","£31,500"
67,"Smith, Andy","£30,750"
68,"O’Connor, William","£30,250"
69,"Richardson, James","£25,500"
70,"Graaf, Jeffrey de","£24,750"
71,"Nicholson, Paul","£24,000"
72,"McGowan, Mick","£22,500"
73,"Meulenkamp, Ron","£21,750"
73,"Aspinall, Nathan","£21,750"
75,"Johnson, Darren","£20,250"
76,"Frost, Mark","£20,000"
77,"Edgar, Matthew","£19,750"
78,"Derry, Nathan","£19,250"
79,"Peer, Berry van","£17,750"
80,"Caris, Magnus","£17,000"
81,"Heydon, Nigel","£16,750"
82,"Kamphuis, Vincent","£16,500"
82,"Walsh, Mark","£16,500"
82,"Stevenson, Simon","£16,500"
85,"Robinson, Jamie","£14,750"
86,"Part, John","£14,000"
87,"Wilson, Jason","£13,750"
88,"Zuydwijk, Mike","£12,750"
89,"Walker, Jim","£11,750"
90,"Meeuwisse, Yordi","£11,500"
91,"Brown, Steve","£11,250"
92,"Haines, Johnny","£11,000"
93,"Clark, Matt","£10,750"
93,"Decker, Mike De","£10,750"
93,"Newell, Tony","£10,750"
96,"Lovett, Jason","£10,500"
97,"Hudson, Peter","£10,250"
98,"Evetts, Ted","£9,750"
99,"Meikle, Ryan","£9,000"
99,"Tabern, Alan","£9,000"
101,"Corner, Richie","£8,750"
102,"Dowling, Kevin","£8,500"
102,"Eidams, René","£8,500"
104,"Hine, Steve","£8,250"
104,"Dale, Scott","£8,250"
106,"MacNeil, Ken","£8,000"
106,"Barilli, Mark","£8,000"
106,"Evans, Lee","£8,000"
109,"Palfreyman, Lee","£7,500"
110,"Milford, Paul","£7,250"
111,"Hammond, Curtis","£7,000"
111,"Willard, Stephen","£7,000"
113,"Jiwa, Prakash","£6,750"
113,"Worsley, Jonathan","£6,750"
115,"Smith, Dennis","£6,500"
115,"Bowles, John","£6,500"
117,"Marriott, Jason","£6,250"
118,"Edhouse, Ritchie","£6,000"
118,"Brown, Darron","£6,000"
120,"Owen, Robert","£5,750"
120,"Griffiths, Shaun","£5,750"
122,"Smith, Ross","£5,500"
123,"McNally, Steve","£5,250"
123,"Michael, John","£5,250"
125,"Schindler, Martin","£5,000"
126,"Foreman, Jay","£4,750"
127,"Harrington, Ryan","£4,500"
127,"Horvat, Dragutin","£4,500"
129,"Williams, Ricky","£4,250"
130,"Dennant, Matthew","£4,000"
130,"Monk, Arron","£4,000"
130,"Lerchbacher, Zoran","£4,000"
130,"Vreede, Ryan de","£4,000"
134,"Alcinas, Antonio","£3,750"
135,"Claydon, Brett","£3,500"
135,"Palmer, Ryan","£3,500"
135,"Parody, Dyson","£3,500"
138,"Barnard, Michael","£3,250"
138,"Woods, Brian","£3,250"
140,"Ladley, Dave","£3,000"
140,"Taylor, Scott","£3,000"
140,"Herz, Fabian","£3,000"
140,"Eijden, Remco van","£3,000"
144,"Dijk, Dick van","£2,750"
144,"Todd, Mick","£2,750"
144,"Rasztovits, Michael","£2,750"
144,"Thomas, Kevin","£2,750"
144,"Berge, Joey ten","£2,750"
149,"Allenstein, Robert","£2,500"
149,"West, Tony","£2,500"
149,"Holz, Mike","£2,500"
149,"Stoyke, Stefan","£2,500"
149,"Langendorf, Maik","£2,500"
154,"Burkhill, Trevor","£2,000"
154,"Vegso, Janos","£2,000"
154,"Puls, Marko","£2,000"
154,"Quantock, Chris","£2,000"
154,"Fullwell, Nick","£2,000"
154,"Robinson, Harry","£2,000"
154,"Viljanen, Kim","£2,000"
154,"Ward, Harry","£2,000"
154,"Welge, Andree","£2,000"
163,"Parsons, Andy","£1,750"
