Vorige Position,Aktuelle Position,,Name,Nationalität,Preisgeld
571,571,↔,Horn Van Der Dennis,Netherlands,£0
571,571,↔,"Hubner,Daniel",Germany,£0
571,571,↔,"Huckvale, Adam",England,£0
571,571,↔,"Huet, van Nick",Netherlands,£0
571,571,↔,"Hulme,Martin",Canada,£0
571,571,↔,"Hunter,Alan",Australia,£0
571,571,↔,"Jackson,Brian",USA,£0
571,571,↔,"Jenkins,Wayne",Canada,£0
571,571,↔,"Jones, Brian",England,£0
571,571,↔,"Kaiser,Rolf",Germany,£0
571,571,↔,"Kaletta, Matt",Australia,£0
571,571,↔,"Keating,Graham",Ireland,£0
571,571,↔,"Kehoe,Kieran",Ireland,£0
571,571,↔,"Kelly,Robert",Ireland,£0
571,571,↔,"Kelly,Tommy",Ireland,£0
571,571,↔,"Kerr,David",Canada,£0
571,571,↔,"Kinsella, Mark",Ireland,£0
571,571,↔,"Kirchner,Scott",USA,£0
571,571,↔,"Kobel,Andre",Germany,£0
571,571,↔,"Kosel,Andre",Germany,£0
571,571,↔,"Kotal, Chris",Germany,£0
571,571,↔,"Kraemer,Rick",Canada,£0
571,571,↔,"Kralt, Elmer",Netherlands,£0
571,571,↔,"Kramer,Gerhard",Germany,£0
571,571,↔,"Kulasic,Albin",Germany,£0
571,571,↔,"Lahiff,Sean",Ireland,£0
571,571,↔,"Lammer,Stefan",Germany,£0
571,571,↔,"Langbecker,Patrick",Germany,£0
571,571,↔,"Lawrence,Eddie",USA,£0
571,571,↔,"Leahy,Jimmy",Ireland,£0
571,571,↔,"Leen,Dan",Ireland,£0
571,571,↔,"Lewanick,Ed",Canada,£0
571,571,↔,"Lier, van Johan",Netherlands,£0
571,571,↔,"Litton,Connley",USA,£0
571,571,↔,"Lloyd,Douglas",Canada,£0
571,571,↔,"Lohse,Rudiger",Germany,£0
571,571,↔,"Lonergan,Arthur",Ireland,£0
571,571,↔,"Lossau,Jorn",Germany,£0
571,571,↔,"Lynch, Anto",Ireland,£0
571,571,↔,"Maffe,Guy",Canada,£0
571,571,↔,"Magee,Mike",Canada,£0
571,571,↔,"Maguire,Lee",Canada,£0
571,571,↔,"Manders,Marcel",Netherlands,£0
571,571,↔,"Manning,Tony",Ireland,£0
571,571,↔,"Marshall, Sean",Ireland,£0
571,571,↔,"Marshall,Lynn",Canada,£0
571,571,↔,"Martin,Alvin",USA,£0
571,571,↔,"Martin,Edwin",Canada,£0
571,571,↔,"Mason, Andy",England,£0
571,571,↔,"Matthews, Billy",Ireland,£0
571,571,↔,"McAuliffe,Billy",Ireland,£0
571,571,↔,"McCann,Jason",Ireland,£0
571,571,↔,"McCann,Kevin",Ireland,£0
571,571,↔,"McDonald,Andrew",Canada,£0
571,571,↔,"McDonnell, Kevin",Ireland,£0
571,571,↔,"McGee,Paul",Ireland,£0
571,571,↔,"McGrath,Tomas",Ireland,£0
571,571,↔,"McGregory,Tony",Ireland,£0
571,571,↔,"McIntosh, Tommy",Scotland,£0
571,571,↔,"McKenna,Damian",USA,£0
571,571,↔,"McKevitt, Jim",Ireland,£0
571,571,↔,"Meade,Doug",Canada,£0
571,571,↔,"Meakins, Billy",England,£0
571,571,↔,"Meaney, Mick Jnr",Ireland,£0
571,571,↔,"Medhurst,Matthew",,£0
571,571,↔,"Medhurst,Robbie",,£0
571,571,↔,"Meehan,Terence",Ireland,£0
571,571,↔,"Meijer, Boyd",Netherlands,£0
571,571,↔,"Mejden,van der Gilbert",Netherlands,£0
571,571,↔,"Merk,Arno",,£0
571,571,↔,"Meti,Andrew",Australia,£0
571,571,↔,"Meyers,Howard",USA,£0
571,571,↔,"Michel,Andre",,£0
571,571,↔,"Miles, Harry",England,£0
571,571,↔,"Minogue,Stanley",Canada,£0
571,571,↔,"Mochizuki,Hiromasa",Japan,£0
571,571,↔,"Monterubbianesi,Maurizio",Italy,£0
571,571,↔,"Mooijman,Roemer",Netherlands,£0
571,571,↔,"Moran,Ken",Ireland,£0
571,571,↔,"Morrisey, James",Ireland,£0
571,571,↔,"Moylan, Patrick",Ireland,£0
571,571,↔,"Munroe,Jim",Canada,£0
571,571,↔,"Murphy, Brian",Ireland,£0
571,571,↔,"Murphy, Dave",Ireland,£0
571,571,↔,"Murphy,Martin",Ireland,£0
571,571,↔,"Nagakawa,Akihiro",Japan,£0
571,571,↔,"Narvades,Joey",USA,£0
571,571,↔,"Nielsen,Bill",Canada,£0
571,571,↔,"Niewohner,Jurgen",Germany,£0
571,571,↔,"Nutt,Jeff",Canada,£0
571,571,↔,"O'Connell,Sarah",Canada,£0
571,571,↔,"O'Connor, Stephen",Ireland,£0
571,571,↔,"Ogier, Nicholas",Guernsey,£0
571,571,↔,"O'Hara,Shane",Ireland,£0
571,571,↔,"O'Regan, Jimmy",Ireland,£0
571,571,↔,"O'Reilly, Alan",Ireland,£0
571,571,↔,"O'Shea,John",Ireland,£0
571,571,↔,"O'Sullivan,Mike",Ireland,£0
571,571,↔,"Parr, Jimi",England,£0
571,571,↔,"Penn, William",USA,£0
571,571,↔,"Penney,Andrew",Canada,£0
571,571,↔,"Perry, Steven",Wales,£0
571,571,↔,"Peters, Bobby",USA,£0
571,571,↔,"Pfalzgraf,Bjorn",,£0
571,571,↔,"Pfeuffer,Bernhard",Germany,£0
571,571,↔,"Pijper, Ron de",Netherlands,£0
571,571,↔,"Powell,Arthur",Ireland,£0
571,571,↔,"Probach,Dieter",Germany,£0
571,571,↔,"Proctor,Dave",Australia,£0
571,571,↔,"Quinn, Peter",Ireland,£0
571,571,↔,"Quintieri,Vito",Italy,£0
571,571,↔,"Quintiero,Guiseppe",Italy,£0
571,571,↔,"Race, Robert",USA,£0
571,571,↔,"Ralph,Jason",Canada,£0
571,571,↔,"Randall, Steve",Wales,£0
571,571,↔,"Raymond,Yves",Canada,£0
571,571,↔,"Reddy,Barney",Ireland,£0
571,571,↔,"Riehl, Pete",Canada,£0
571,571,↔,"Riether,Markus",Germany,£0
571,571,↔,"Rivera,Nick",USA,£0
571,571,↔,"Roberts, Mike",England,£0
571,571,↔,"Robinson, Mark",England,£0
571,571,↔,"Ruggeri,Romano",Italy,£0
571,571,↔,"Ruloffs,Sascha",Germany,£0
571,571,↔,"Sano, Masahiko",Japan,£0
571,571,↔,"Sargeant, Chris",England,£0
571,571,↔,"Schaak,Stephan",,£0
571,571,↔,"Schie, Van Jimmy",Netherlands,£0
571,571,↔,"Schiffl,Harald",Austria,£0
571,571,↔,"Schmidt,Michael",Germany,£0
571,571,↔,"Schmidt,Tomas",Germany,£0
571,571,↔,"Severin,Drazen",Canada,£0
571,571,↔,"Sharp, Col",Australia,£0
571,571,↔,"Shumway, Gordon",Germany,£0
571,571,↔,"Simms,Mark",Canada,£0
571,571,↔,"Sinnaeve, Adam",Canada,£0
571,571,↔,"Smidt, Jasper",Netherlands,£0
571,571,↔,"Smith,Griffin",Ireland,£0
571,571,↔,"Spelden van, Barry",Netherlands,£0
571,571,↔,"Standing,Phil",Ireland,£0
571,571,↔,"Stigter, Jeffrey",Netherlands,£0
571,571,↔,"Stuiver,Niels",Netherlands,£0
571,571,↔,"Talbot,Aaron",Canada,£0
571,571,↔,"Tesselaar,Rick",Canada,£0
571,571,↔,"Tillmann,Markus",Germany,£0
571,571,↔,"Timpone,George",USA,£0
571,571,↔,"Townes, Kylie",Australia,£0
571,571,↔,"Trapp,Peter",Germany,£0
571,571,↔,"Trenti,Teddy",Italy,£0
571,571,↔,"Trenz,Harald",Germany,£0
571,571,↔,"Twamley,David*",Canada,£0
571,571,↔,"Valks,Erwin",,£0
571,571,↔,"Vogleskamp,Sven",,£0
571,571,↔,"Wallace,Eldon",Canada,£0
571,571,↔,"Walsh,Kevin",Ireland,£0
571,571,↔,"Ward, Adam",England,£0
571,571,↔,"Warford,Torman",Canada,£0
571,571,↔,"Waters,Peter",Ireland,£0
571,571,↔,"Watson,Dave",Canada,£0
571,571,↔,"Wenham, Matthew",England,£0
571,571,↔,"Westerlaken,Roy",,£0
571,571,↔,"White,Fabian",Canada,£0
571,571,↔,"Whybrow, Brian",England,£0
571,571,↔,"Widmayer,Jim",USA,£0
571,571,↔,"Wilderman, David",USA,£0
571,571,↔,"Williams,Brian",Canada,£0
571,571,↔,"Wilson, Tom",England,£0
571,571,↔,"Wit,de Maik",Netherlands,£0
571,571,↔,"Wolf, Michael",Germany,£0
571,571,↔,"Woods,Danny",USA,£0
571,571,↔,"Wuehrer,Franz",Austria,£0
571,571,↔,"Ziolkowski, Matheus",Germany,£0
