Aktuelle Position,Name,Preisgeld
1,Luke Humphries,"£1,804,250"
2,Michael Smith,"£890,000"
3,Michael van Gerwen,"£815,500"
4,Luke Littler,"£618,500"
5,Rob Cross,"£571,750"
6,Dave Chisnall,"£538,500"
7,Jonny Clayton,"£509,000"
8,Stephen Bunting,"£486,000"
9,Damon Heta,"£484,000"
10,Gerwyn Price,"£480,500"
11,Dimitri Van den Bergh,"£474,250"
12,Nathan Aspinall,"£445,500"
13,Danny Noppert,"£441,750"
14,Gary Anderson,"£440,500"
15,Chris Dobey,"£430,250"
16,James Wade,"£426,750"
17,Peter Wright,"£417,500"
18,Josh Rock,"£415,000"
19,Ross Smith,"£405,000"
20,Ryan Searle,"£398,250"
21,Andrew Gilding,"£385,500"
22,Martin Schindler,"£375,000"
23,Joe Cullen,"£367,250"
24,Mike De Decker,"£356,000"
25,Dirk van Duijvenbode,"£345,750"
26,Daryl Gurney,"£324,250"
27,Gabriel Clemens,"£304,750"
28,Gian van Veen,"£284,000"
29,Ritchie Edhouse,"£281,750"
30,Brendan Dolan,"£271,500"
31,Krzysztof Ratajski,"£267,750"
32,Raymond van Barneveld,"£262,750"
33,Ryan Joyce,"£254,500"
34,Ricardo Pietreczko,"£245,750"
35,Luke Woodhouse,"£242,750"
36,Jermaine Wattimena,"£222,750"
37,Scott Williams,"£210,750"
38,Martin Lukeman,"£202,500"
39,Cameron Menzies,"£185,500"
40,José de Sousa,"£174,000"
41,Kim Huybrechts,"£163,500"
42,Mickey Mansell,"£143,250"
43,Callan Rydz,"£142,000"
44,Madars Razma,"£134,750"
45,Ricky Evans,"£132,250"
46,Jim Williams,"£128,750"
47,Richard Veenstra,"£115,250"
48,William O'Connor,"£114,500"
49,Niels Zonneveld,"£113,750"
50,Alan Soutar,"£113,000"
51,Kevin Doets,"£111,500"
52,Keane Barry,"£107,750"
53,Florian Hempel,"£103,000"
54,Steve Beaton,"£96,500"
55,Matt Campbell,"£95,500"
56,Mensur Suljovic,"£92,750"
57,Ian White,"£91,250"
58,Wessel Nijman,"£85,000"
58,Boris Krcmar,"£85,000"
60,Simon Whitlock,"£84,250"
61,Mervyn King,"£82,500"
62,Ryan Meikle,"£78,500"
63,Jamie Hughes,"£72,750"
64,Stephen Burton,"£70,500"
65,Adam Gawlas,"£68,750"
66,Lee Evans,"£66,750"
67,Dylan Slevin,"£65,500"
68,Karel Sedlacek,"£63,750"
69,Vincent van der Voort,"£63,500"
70,Connor Scutt,"£62,000"
71,Rowby-John Rodriguez,"£58,750"
72,Maik Kuivenhoven,"£56,500"
73,Wesley Plaisier,"£54,500"
74,Jeffrey de Zwaan,"£51,000"
75,Daniel Klose,"£47,250"
76,Nick Kenny,"£46,750"
77,Robert Owen,"£45,250"
78,Keegan Brown,"£42,750"
79,Thibault Tricole,"£42,250"
80,Jeffrey Sparidaans,"£41,500"
81,Jeffrey de Graaf,"£40,000"
82,Graham Hall,"£39,500"
82,Dom Taylor,"£39,500"
84,Arron Monk,"£37,750"
85,Graham Usher,"£32,250"
85,Jurjen van der Velde,"£32,250"
87,Chris Landman,"£31,750"
88,Mario Vandenbogaerde,"£31,000"
89,James Hurrell,"£30,750"
90,Pascal Rupprecht,"£26,500"
91,Andy Baetens,"£24,500"
92,Josh Payne,"£23,500"
92,Berry van Peer,"£23,500"
94,Adrian Lewis,"£22,500"
95,Nathan Rafferty,"£22,250"
96,Steve Lennon,"£22,000"
97,Radek Szaganski,"£21,750"
98,Lukas Wenig,"£21,500"
99,Owen Roelofs,"£21,000"
100,Danny van Trijp,"£20,500"
101,Callum Goffin,"£20,250"
102,Christian Kist,"£19,750"
103,Adam Warner,"£19,500"
104,Patrick Geeraets,"£19,000"
104,Matthew Dennant,"£19,000"
104,Geert Nentjes,"£19,000"
107,Darren Beveridge,"£18,750"
107,Adam Smith-Neale,"£18,750"
109,Jitse van der Wal,"£18,250"
110,Benjamin Reus,"£18,000"
111,Ronny Huybrechts,"£17,750"
112,Andy Boulton,"£17,000"
112,Danny Lauby,"£17,000"
114,Robert Grundy,"£16,500"
115,Robbie Knops,"£16,250"
116,Christian Perez,"£15,500"
117,George Killington,"£14,500"
118,Owen Bates,"£14,000"
119,Brett Claydon,"£13,750"
120,Martijn Dragt,"£13,500"
120,Adam Hunt,"£13,500"
122,Darryl Pilgrim,"£13,000"
