Aktuelle Position,Name,Preisgeld
1,Michael van Gerwen,"£1,736,250"
2,Peter Wright,"£770,750"
3,Gary Anderson,"£718,250"
4,Daryl Gurney,"£413,250"
5,Mensur Suljovic,"£368,500"
6,Phil Taylor,"£360,000"
7,Adrian Lewis,"£348,000"
8,Dave Chisnall,"£343,500"
9,Raymond van Barneveld,"£303,750"
10,Simon Whitlock,"£301,750"
11,James Wade,"£300,250"
12,Jelle Klaasen,"£292,000"
13,Michael Smith,"£284,250"
14,Benito van de Pas,"£266,000"
15,Alan Norris,"£260,750"
16,Gerwyn Price,"£247,750"
17,Ian White,"£244,750"
18,Kim Huybrechts,"£235,750"
19,Joe Cullen,"£218,250"
20,Rob Cross,"£211,250"
21,Stephen Bunting,"£196,500"
22,Mervyn King,"£184,500"
23,Darren Webster,"£184,000"
24,Kyle Anderson,"£179,000"
25,Steve Beaton,"£176,500"
26,Cristo Reyes,"£146,750"
27,Justin Pipe,"£143,500"
28,Robert Thornton,"£143,250"
29,John Henderson,"£133,750"
30,Mark Webster,"£133,500"
31,Jonny Clayton,"£132,000"
32,James Wilson,"£124,750"
33,Vincent van der Voort,"£122,500"
34,Terry Jenkins,"£113,500"
35,Christian Kist,"£111,500"
36,Brendan Dolan,"£110,500"
37,Steve West,"£109,750"
38,Chris Dobey,"£103,750"
39,Jamie Caven,"£100,750"
40,Jermaine Wattimena,"£95,750"
41,Ronny Huybrechts,"£95,250"
42,Robbie Green,"£92,250"
43,Dimitri Van den Bergh,"£80,500"
44,Kevin Painter,"£78,000"
45,Max Hopp,"£73,500"
46,Jamie Lewis,"£72,000"
47,Joe Murnan,"£71,000"
48,Jan Dekker,"£70,750"
49,Andrew Gilding,"£68,500"
50,Ricky Evans,"£63,750"
51,Josh Payne,"£63,750"
52,Rowby-John Rodriguez,"£59,000"
53,James Richardson,"£58,750"
54,Ron Meulenkamp,"£58,500"
55,Jeffrey de Graaf,"£54,750"
56,Devon Petersen,"£52,000"
57,Richard North,"£49,000"
58,Keegan Brown,"£49,000"
59,Mick McGowan,"£45,500"
60,David Pallett,"£44,750"
61,Dirk van Duijvenbode,"£43,000"
62,Andy Boulton,"£41,750"
63,William O'Connor,"£39,750"
64,Jeffrey de Zwaan,"£39,750"
65,Andy Hamilton,"£39,250"
66,Steve Lennon,"£37,250"
67,John Michael,"£37,000"
68,Berry van Peer,"£33,750"
69,Andy Jenkins,"£33,750"
70,Peter Jacques,"£32,000"
71,Mike De Decker,"£31,250"
72,Wes Newton,"£31,000"
73,Simon Stevenson,"£29,000"
74,Zoran Lerchbacher,"£28,500"
75,Martin Schindler,"£27,750"
76,Ted Evetts,"£26,250"
77,Krzysztof Ratajski,"£26,000"
78,Mark Walsh,"£25,500"
79,Ryan Searle,"£25,250"
80,Robert Owen,"£24,000"
81,Matt Clark,"£23,750"
82,Darren Johnson,"£23,500"
83,Vincent Kamphuis,"£23,000"
84,Richie Corner,"£23,000"
85,Yordi Meeuwisse,"£22,500"
86,Nathan Aspinall,"£22,250"
87,Chris Quantock,"£22,000"
88,Ryan Meikle,"£21,250"
89,John Bowles,"£20,750"
90,Peter Hudson,"£20,000"
91,Jimmy Hendriks,"£19,250"
92,Paul Nicholson,"£18,000"
93,Jamie Bain,"£17,750"
94,Kirk Shepherd,"£17,750"
95,Mickey Mansell,"£17,000"
96,Kim Viljanen,"£17,000"
97,Jonathan Worsley,"£16,250"
98,Tony Newell,"£16,250"
99,Steve Hine,"£15,250"
100,Antonio Alcinas,"£14,500"
101,Mark Barilli,"£14,250"
102,Mick Todd,"£13,500"
103,Wayne Jones,"£12,500"
104,Matthew Dennant,"£11,750"
105,Alan Tabern,"£10,000"
106,Ritchie Edhouse,"£9,750"
107,Aden Kirk,"£9,250"
108,Brian Woods,"£9,250"
109,Dennis Smith,"£9,000"
110,Ryan Palmer,"£9,000"
111,Stuart Kellett,"£9,000"
112,Adam Hunt,"£9,000"
113,Scott Taylor,"£8,750"
114,Paul Rowley,"£8,000"
115,Harry Robinson,"£8,000"
116,Shaun Griffiths,"£8,000"
117,Ronnie Baxter,"£7,750"
118,Darron Brown,"£7,750"
119,Martin Lukeman,"£7,750"
120,Richie Burnett,"£7,500"
121,Terry Temple,"£7,500"
122,Madars Razma,"£7,250"
123,Bernd Roith,"£6,750"
124,Paul Harvey,"£6,750"
125,Warrick Scheffer,"£6,500"
126,Ricky Williams,"£6,250"
127,Diogo Portela,"£5,750"
