Vorige Position,Aktuelle Position,Name,Nationalität,Preisgeld
1,1,"van Gerwen, Michael",Netherlands,"£918,100"
2,2,"Taylor, Phil",England,"£698,350"
3,3,"Lewis, Adrian",England,"£387,400"
7,4,"Anderson, Gary",Scotland,"£330,800"
4,5,"Wright, Peter",Scotland,"£303,900"
5,6,"Wade, James",England,"£292,700"
6,7,"Whitlock, Simon",Australia,"£265,200"
8,8,"Chisnall,Dave",England,"£227,650"
9,9,"Thornton, Robert",Scotland,"£209,150"
10,10,"King, Mervyn",England,"£198,100"
12,11,"Dolan, Brendan",Northern Ireland,"£198,050"
11,12,"Hamilton, Andy",England,"£194,600"
17,13,"Newton, Wesley",England,"£192,250"
13,14,"van Barneveld, Raymond",Netherlands,"£190,150"
15,15,"White, Ian",England,"£182,000"
18,16,"Jenkins, Terry",England,"£178,250"
14,17,"Pipe, Justin",England,"£173,200"
16,18,"Huybrechts,Kim",Belgium,"£160,600"
19,19,"Caven, Jamie",England,"£158,850"
21,20,"Painter, Kevin",England,"£142,050"
20,21,"Beaton, Steve",England,"£139,900"
22,22,"Smith, Michael",England,"£134,100"
23,23,"van der Voort, Vincent",Netherlands,"£126,550"
24,24,"Baxter, Ronnie",England,"£107,650"
25,25,"Nicholson, Paul",Australia,"£101,350"
26,26,"Burnett, Richie",Wales,"£96,400"
30,27,"Winstanley, Dean",England,"£95,550"
27,28,"Bunting,Stephen",England,"£94,250"
28,29,"Smith, Andy",England,"£90,350"
31,30,"Klaasen, Jelle",Netherlands,"£88,700"
29,31,"Part, John",Canada,"£86,200"
32,32,"Webster, Mark",Wales,"£78,000"
33,33,"Kellett, Stuart",England,"£71,800"
36,34,"Webster, Darren",England,"£65,650"
35,35,"Lloyd, Colin",England,"£61,950"
37,36,"Huybrechts, Ronny",Belgium,"£61,200"
34,37,"Jones, Wayne",England,"£59,850"
38,38,"Lewis,Jamie",Wales,"£56,600"
39,39,"Gilding, Andrew",England,"£52,700"
41,40,"Suljovic, Mensur",Austria,"£47,600"
40,41,"Walsh, Mark",England,"£45,300"
42,42,"Mansell,Mickey",Northern Ireland,"£40,250"
43,43,"Henderson,John",Scotland,"£39,150"
44,44,"Cullen, Joe",England,"£39,050"
45,45,"McDine,Kevin",England,"£30,750"
53,46,"Kist,Christian",Netherlands,"£29,750"
47,47,"Bowles, John",England,"£29,600"
48,48,"Monk, Arron",England,"£28,900"
49,49,"Smith, Ross",England,"£28,450"
54,50,"van de Pas,Benito",Netherlands,"£27,500"
50,51,"Smith, Dennis",England,"£26,950"
46,52,"Osborne, Colin",England,"£26,850"
51,53,Evans.Ricky,England,"£26,550"
52,54,"Brown, Steve",England,"£26,500"
55,55,"Pallett,David",England,"£23,200"
56,56,"Rand, Scott",England,"£22,750"
57,57,"Artut, Jyhan",Germany,"£22,600"
58,58,"Dudbridge, Mark",England,"£22,050"
59,59,"Jenkins, Andy",England,"£21,800"
60,60,"Gurney,Daryl",Northern Ireland,"£21,400"
60,60,"Hudson, Peter",England,"£21,400"
62,62,"Hubbard,James",England,"£19,350"
63,63,"Haines, Johnny",England,"£18,850"
64,64,"Finnan,Connie",Ireland,"£18,700"
65,65,"Komula,Jarkko",Finland,"£18,500"
66,66,"Caris, Magnus",Sweden,"£16,350"
