Date, Tournament, Rank, Winner_Name, Average
11/18/2001,Vauxhall Autumn Open,2,Ronnie Baxter,
11/18/2001,Witch City Open,2,Richie Burnett,
01/05/2002,World Championship,WC,Phil Taylor,101.63
02/02/2002,PDC Eastbourne Open,2,Alan Warriner-Little,
02/03/2002,Eastbourne Pro,1,Phil Taylor,
02/24/2002,Irish Masters,2,Denis Ovens,
03/02/2002,West Tyrone Open,2,John Part,
03/03/2002,Ireland Open Spring Classic,1,John Part,
03/15/2002,Vauxhall Spring Pro,1,Les Fitton,
03/16/2002,Vauxhall Spring Open,2,John Part,
04/14/2002,Antwerp Open,U,Colin Lloyd,
04/26/2002,Open Holland,1,Roland Scholten,
04/28/2002,Blueberry Hill,2,John Part,
05/12/2002,Le Skratch Montreal Open,2,Phil Taylor,
05/19/2002,Golden Harvest North American Cup,2,Phil Taylor,
06/30/2002,PDC Nations Cup Singles,2,John Part,
06/30/2002,PDC Northern Ireland Open,2,John Part,
07/06/2002,Las Vegas Desert Classic,MJ,Phil Taylor,98.2
07/20/2002,UK Open Qualifier 1,PT,Phil Taylor,
07/29/2002,World Matchplay,MJ,Phil Taylor,102.28
09/01/2002,Cleveland Darts Extraveganza,2,John Part,
09/08/2002,UK Open Qualifier 1,PT,Peter Manley,
09/15/2002,Windy City Open,2,John Part,
09/16/2002,Ireland Open Autumn Classic,1,John Part,
10/13/2002,Bob Anderson Classic,2,Kevin Painter,
10/18/2002,World Grand Prix,MJ,Phil Taylor,95.25
10/20/2002,UK Open Qualifier 1,PT,Phil Taylor,
11/12/2002,Oceanic Masters,U,Simon Whitlock,
11/17/2002,Sunparks Masters,2,Peter Manley,
11/23/2002,Vauxhall Autumn Pro,1,Wayne Mardle,
11/24/2002,Vauxhall Autumn Open,2,Wayne Mardle,
12/01/2002,UK Open Qualifier 1,PT,Andy Jenkins,
01/05/2003,World Championship,WC,John Part,94.19
01/12/2003,UK Open Qualifier 1,PT,Peter Manley,
