Date, Tournament, Rank, Winner_Name, Average
07/11/2015,Challenge Tour 9,-,,
07/11/2015,Challenge Tour 10,-,,
07/12/2015,Challenge Tour 11,-,Richie Corner,
07/12/2015,Challenge Tour 12,-,Dean Reynolds,
07/12/2015,European Tour 6,ET,Robert Thornton,103.34
07/26/2015,World Matchplay,MJ,Michael van Gerwen,102.81
08/16/2015,Perth Masters,U,Phil Taylor,101.68
08/22/2015,Sydney Masters,U,Phil Taylor,99.99
08/30/2015,Auckland Masters,U,Adrian Lewis,101.48
09/10/2015,European Tour EU Card Holder Qualifier,QE,,
09/10/2015,European Tour EU Card Holder Qualifier,QE,,
09/10/2015,European Tour Home Nation Qualifier,QN,,
09/12/2015,Development Tour 9,-,Jamie Lewis,
09/12/2015,Development Tour 10,-,Dimitri Van den Bergh,
09/13/2015,Development Tour 11,-,Mike De Decker,
09/13/2015,Development Tour 12,-,Aaron Dyer,
09/13/2015,European Tour 7,ET,Michael Smith,97.07
09/17/2015,European Tour Home Nation Qualifier,QN,,
09/19/2015,Challenge Tour 13,-,Chris Quantock,
09/19/2015,Challenge Tour 14,-,Peter Hudson,
09/20/2015,Challenge Tour 15,-,Jan Dekker,
09/20/2015,Challenge Tour 16,-,Martin Lukeman,
09/20/2015,European Tour 8,ET,Michael van Gerwen,104.08
09/25/2015,European Tour UK Card Holder Qualifier,QU,,
09/26/2015,Players Championship 15,PT,Terry Jenkins,98.21
09/27/2015,Players Championship 16,PT,Jelle Klaasen,96.99
10/02/2015,Players Championship 17,PT,Ian White,95.75
10/03/2015,Players Championship 18,PT,Alan Norris,103.97
10/10/2015,World Grand Prix,MJ,Robert Thornton,90.07
10/15/2015,European Tour EU Card Holder Qualifier,QE,,
10/15/2015,European Tour Home Nation Qualifier,QN,,
10/17/2015,Development Tour 13,-,Bradley Kirk,
10/17/2015,Development Tour 14,-,Sven Groen,
10/18/2015,Development Tour 15,-,Dean Reynolds,
10/18/2015,Development Tour 16,-,Bradley Kirk,
10/18/2015,European Tour 9,ET,Kim Huybrechts,100.76
10/23/2015,Grand Slam Qualifier,Q,,
10/23/2015,Grand Slam Reserves Qualifier,U,Devon Petersen,
10/23/2015,World Series Qualifier,Q,,
10/24/2015,Players Championship 19,PT,Peter Wright,102.28
10/25/2015,Players Championship 20,PT,Gary Anderson,
11/01/2015,European Championship,MJ,Michael van Gerwen,105.15
11/08/2015,Grand Slam,Premier,Michael van Gerwen,105.42
11/22/2015,World Series of Darts Finals,U,Michael van Gerwen,105.66
11/29/2015,Players Championship Finals,MJ,Michael van Gerwen,102.31
11/29/2015,World Youth Championship,-,Max Hopp,86.97
11/30/2015,World Championship Tour Card Holder Qualifier,U,Ricky Evans,
12/12/2015,Junior Darts Corporation,-,Joshua Richardson,
01/03/2016,World Championship,WC,Gary Anderson,101.8
01/13/2016,PDC Tour Card Qualifying School 1,U,,
01/14/2016,PDC Tour Card Qualifying School 2,U,,
01/15/2016,PDC Tour Card Qualifying School 3,U,,
01/16/2016,PDC Tour Card Qualifying School 4,U,,
01/17/2016,European Tour UK Card Holder Qualifier 1,Q,,
01/17/2016,European Tour UK Card Holder Qualifier 2,Q,,
01/23/2016,European Tour EU Card Holder Qualifier 1,Q,,
01/23/2016,European Tour EU Card Holder Qualifier 2,Q,,
01/23/2016,European Tour Home Nation Qualifier 1,Q,,
01/31/2016,Masters,U,Michael van Gerwen,104.1
02/05/2016,UK Open Qualifier 1,PT,Adrian Lewis,3
02/06/2016,UK Open Qualifier 2,PT,Michael van Gerwen,3
02/07/2016,UK Open Qualifier 3,PT,Phil Taylor,3
02/14/2016,European Tour 1,ET,Michael van Gerwen,102.53
02/19/2016,UK Open Qualifier 4,PT,Gary Anderson,3
02/20/2016,UK Open Qualifier 5,PT,Michael van Gerwen,3
02/21/2016,UK Open Qualifier 6,PT,Michael van Gerwen,3
03/06/2016,UK Open,MJ,Michael van Gerwen,103.05
03/11/2016,European Tour UK Card Holder Qualifier 3,Q,,
03/11/2016,European Tour UK Card Holder Qualifier 4,Q,,
03/12/2016,Players Championship 1,PT,Peter Wright,3
03/13/2016,Players Championship 2,PT,Stephen Bunting,3
03/19/2016,Challenge Tour 1,-,Chris Quantock,
03/19/2016,Challenge Tour 2,-,Barry Lynn,
03/20/2016,Challenge Tour 3,-,Ritchie Edhouse,
03/20/2016,Challenge Tour 4,-,Bryan de Hoog,
03/25/2016,European Tour Home Nation Qualifier 2,Q,,
03/26/2016,Development Tour 1,-,Callum Loose,
03/26/2016,Development Tour 2,-,Steve Lennon,
03/27/2016,Development Tour 3,-,Josh Payne,
03/27/2016,Development Tour 4,-,Adam Hunt,
03/28/2016,European Tour 2,ET,Michael van Gerwen,98.59
04/08/2016,Players Championship 3,PT,Michael van Gerwen,3
04/09/2016,Players Championship 4,PT,Benito van de Pas,3
04/10/2016,Players Championship 5,PT,Ian White,3
04/22/2016,European Tour EU Card Holder Qualifier 3,Q,,
04/22/2016,European Tour EU Card Holder Qualifier 4,Q,,
04/23/2016,Development Tour 5,-,Max Hopp,
04/23/2016,Development Tour 6,-,Ross Twell,
04/24/2016,Development Tour 7,-,Kenny Neyens,
04/24/2016,Development Tour 8,-,Dean Reynolds,
04/30/2016,Players Championship 6,PT,Josh Payne,3
05/01/2016,Players Championship 7,PT,Gerwyn Price,3
05/08/2016,European Tour 3,ET,Michael van Gerwen,101.95
05/12/2016,European Tour Home Nation Qualifier 4,Q,,
05/14/2016,Development Tour 9,-,Dean Reynolds,
05/14/2016,Development Tour 10,-,Ross Twell,
05/15/2016,Development Tour 11,-,Aden Kirk,
05/15/2016,Development Tour 12,-,Ross Twell,
05/15/2016,European Tour 4,ET,James Wade,95.46
05/19/2016,Premier League,U,Michael van Gerwen,106.49
05/20/2016,European Tour UK Card Holder Qualifier 5,Q,,
05/20/2016,European Tour UK Card Holder Qualifier 6,Q,,
05/21/2016,Players Championship 8,PT,Gerwyn Price,3
05/22/2016,Players Championship 9,PT,Benito van de Pas,3
05/27/2016,World Series of Darts 1,U,Gary Anderson,97.89
05/28/2016,Challenge Tour 5,-,Nick Fullwell,
05/28/2016,Challenge Tour 6,-,Adam Hunt,
05/29/2016,Challenge Tour 7,-,Ryan Searle,
05/29/2016,Challenge Tour 8,-,Scott Taylor,
06/01/2016,European Tour EU Card Holder Qualifier 5,Q,,
06/01/2016,European Tour EU Card Holder Qualifier 6,Q,,
06/05/2016,World Cup,U,,
06/09/2016,European Tour Home Nation Qualifier 5,Q,,
06/12/2016,European Tour 5,ET,Phil Taylor,100.17
06/19/2016,World Series of Darts 2,U,Gary Anderson,105.17
06/25/2016,Challenge Tour 9,-,Matt Padgett,
06/25/2016,Challenge Tour 10,-,Rob Cross,
06/26/2016,Challenge Tour 11,-,Richie Burnett,
06/26/2016,Challenge Tour 12,-,Kelvin Hart,
06/26/2016,World Series of Darts 3,U,Michael van Gerwen,99.18
07/01/2016,European Tour UK Card Holder Qualifier 7,Q,,
07/01/2016,European Tour UK Card Holder Qualifier 8,Q,,
07/02/2016,Players Championship 10,PT,Dave Chisnall,3
07/03/2016,Players Championship 11,PT,Ian White,3
07/07/2016,World Series of Darts 4,U,Gary Anderson,102.49
07/24/2016,World Matchplay,MJ,Michael van Gerwen,101.97
07/28/2016,European Tour Home Nation Qualifier 6,Q,,
07/31/2016,European Tour 6,ET,Michael van Gerwen,102.92
08/05/2016,European Tour UK Card Holder Qualifier 9,Q,,
08/05/2016,European Tour UK Card Holder Qualifier 10,Q,,
08/06/2016,Players Championship 12,PT,Gary Anderson,3
08/07/2016,Players Championship 13,PT,Ian White,3
08/20/2016,World Series of Darts 5,U,Phil Taylor,104.14
08/27/2016,World Series of Darts 6,U,Michael van Gerwen,97.91
09/01/2016,European Tour EU Card Holder Qualifier 7,Q,,
09/01/2016,European Tour EU Card Holder Qualifier 8,Q,,
09/01/2016,European Tour Home Nation Qualifier 7,Q,,
09/03/2016,Development Tour 13,-,Dean Reynolds,
09/03/2016,Development Tour 14,-,Dimitri Van den Bergh,
09/04/2016,Development Tour 15,-,Dean Reynolds,
09/04/2016,Development Tour 16,-,Dean Reynolds,
09/04/2016,European Tour 7,ET,Mensur Suljović,96.66
09/08/2016,European Tour Home Nation Qualifier 8,Q,,
09/10/2016,Challenge Tour 13,-,Rob Cross,
09/10/2016,Challenge Tour 14,-,Richie Burnett,
09/11/2016,Challenge Tour 15,-,Rob Cross,
09/11/2016,Challenge Tour 16,-,Ryan Searle,
09/11/2016,European Tour 8,ET,Michael van Gerwen,101.46
09/15/2016,European Tour EU Card Holder Qualifier 9,Q,,
09/15/2016,European Tour EU Card Holder Qualifier 10,Q,,
09/15/2016,European Tour Home Nation Qualifier 9,Q,,
09/18/2016,European Tour 9,ET,Michael van Gerwen,101.2
09/20/2016,Players Championship 14,PT,Michael van Gerwen,3
09/21/2016,Players Championship 15,PT,Michael van Gerwen,105.91
09/22/2016,Players Championship 16,PT,Michael van Gerwen,3
09/25/2016,Champions League,U,Phil Taylor,102.78
09/30/2016,Players Championship 17,PT,Michael van Gerwen,3
10/01/2016,Players Championship 18,PT,Simon Whitlock,3
10/08/2016,World Grand Prix,MJ,Michael van Gerwen,99.97
10/13/2016,European Tour Home Nation Qualifier 10,Q,,
10/15/2016,Development Tour 17,-,Dean Reynolds,
10/15/2016,Development Tour 18,-,Corey Cadby,
10/16/2016,Development Tour 19,-,Mike De Decker,
10/16/2016,European Tour 10,ET,Alan Norris,93.24
10/21/2016,Players Championship 19,PT,Simon Whitlock,3
10/22/2016,Players Championship 20,PT,Benito van de Pas,87.78
10/23/2016,Grand Slam Qualifier,Q,,
10/23/2016,World Series Finals Tour Card Qualifier,Q,,
10/30/2016,European Championship,MJ,Michael van Gerwen,105.31
11/06/2016,World Series of Darts Finals,U,Michael van Gerwen,104.03
11/20/2016,Grand Slam,MJ,Michael van Gerwen,101.83
11/27/2016,Players Championship Finals,MJ,Michael van Gerwen,102.15
11/27/2016,World Youth Championship,-,Corey Cadby,3
11/28/2016,World Championship Tour Card Holder Qualifier,Q,Mark Frost,3
01/02/2017,World Championship,WC,Michael van Gerwen,107.06
01/19/2017,PDC Tour Card Qualifying School 1,U,,
01/20/2017,PDC Tour Card Qualifying School 2,U,,
01/21/2017,PDC Tour Card Qualifying School 3,U,,
01/22/2017,PDC Tour Card Qualifying School 4,U,,
01/29/2017,Masters,U,Michael van Gerwen,106
02/03/2017,UK Open Qualifier 1,PT,Peter Wright,109.76
02/04/2017,UK Open Qualifier 2,PT,Simon Whitlock,97.39
02/05/2017,UK Open Qualifier 3,PT,Peter Wright,99.96
02/10/2017,UK Open Qualifier 4,PT,Michael van Gerwen,119.88
02/11/2017,UK Open Qualifier 5,PT,Simon Whitlock,3
02/12/2017,UK Open Qualifier 6,PT,Peter Wright,92.89
02/18/2017,Development Tour 1,-,Luke Humphries,
02/18/2017,Development Tour 2,-,Dimitri Van den Bergh,
02/19/2017,Development Tour 3,-,Ryan Meikle,
02/19/2017,Development Tour 4,-,Luke Humphries,
02/25/2017,Players Championship 1,PT,Alan Norris,3
02/26/2017,Players Championship 2,PT,Gary Anderson,111.94
03/05/2017,UK Open,MJ,Peter Wright,101.86
03/10/2017,European Tour UK Card Holder Qualifier 1,Q,,
03/11/2017,Players Championship 3,PT,Rob Cross,3
03/12/2017,Players Championship 4,PT,Simon Whitlock,3
03/18/2017,Development Tour 5,-,Kenny Neyens,
03/18/2017,Development Tour 6,-,Dimitri Van den Bergh,
03/19/2017,Development Tour 7,-,Adam Hunt,
03/19/2017,Development Tour 8,-,Steve Lennon,
03/23/2017,European Tour EU Card Holder Qualifier 1,Q,,
03/23/2017,European Tour EU Card Holder Qualifier 2,Q,,
03/23/2017,European Tour Home Nation Qualifier 1,Q,,
03/25/2017,Challenge Tour 1,-,Aaron Dyer,
03/25/2017,Challenge Tour 2,-,Paul Milford,
03/26/2017,Challenge Tour 3,-,Lee Evans,
03/26/2017,Challenge Tour 4,-,Aaron Dyer,
03/26/2017,European Tour 1,ET,Peter Wright,93.97
03/31/2017,European Tour UK Card Holder Qualifier 2,Q,,
04/01/2017,Players Championship 5,PT,Adrian Lewis,105.67
04/02/2017,Players Championship 6,PT,Michael van Gerwen,97.47
04/07/2017,European Tour UK Card Holder Qualifier 3,Q,,
04/08/2017,Players Championship 7,PT,Daryl Gurney,102.26
04/09/2017,Players Championship 8,PT,Joe Cullen,99.48
04/14/2017,European Tour Home Nation Qualifier 2,Q,,
04/15/2017,Challenge Tour 5,-,Ryan Harrington,
04/15/2017,Challenge Tour 6,-,Wayne Jones,
04/16/2017,Challenge Tour 7,-,Mark Dudbridge,
04/16/2017,Challenge Tour 8,-,Wayne Jones,
04/17/2017,European Tour 2,ET,Michael van Gerwen,106.67
04/20/2017,European Tour EU Card Holder Qualifier 3,Q,,
04/20/2017,European Tour Home Nation Qualifier 3,Q,,
04/23/2017,European Tour 3,ET,Peter Wright,100.48
04/28/2017,European Tour Home Nation Qualifier 4,Q,,
04/28/2017,European Tour UK Card Holder Qualifier 4,Q,,
04/28/2017,European Tour UK Card Holder Qualifier 5,Q,,
04/29/2017,Players Championship 9,PT,Michael van Gerwen,111.65
04/30/2017,Players Championship 10,PT,Gary Anderson,104.05
05/04/2017,European Tour EU Card Holder Qualifier 4,Q,,
05/04/2017,European Tour EU Card Holder Qualifier 5,Q,,
05/06/2017,European Tour 4,ET,Peter Wright,99.7
05/11/2017,European Tour Home Nation Qualifier 5,Q,,
05/13/2017,Challenge Tour 9,-,Nathan Aspinall,
05/13/2017,Challenge Tour 10,-,Robert Rickwood,
05/13/2017,European Tour 5,ET,Michael Smith,96.69
05/14/2017,Challenge Tour 11,-,Peter Jacques,
05/14/2017,Challenge Tour 12,-,Luke Humphries,
05/18/2017,Premier League,U,Michael van Gerwen,104.49
05/19/2017,European Tour UK Card Holder Qualifier 6,Q,,
05/19/2017,European Tour UK Card Holder Qualifier 7,Q,,
05/20/2017,Players Championship 11,PT,Peter Wright,108.51
05/21/2017,Players Championship 12,PT,Rob Cross,102.33
05/25/2017,World Series of Darts 1,U,Gary Anderson,103.05
05/27/2017,Development Tour 9,-,Luke Humphries,
05/27/2017,Development Tour 10,-,Mike van Duivenbode,
05/28/2017,Development Tour 11,-,Jeffrey de Zwaan,
05/28/2017,Development Tour 12,-,Rusty-Jake Rodriguez,
05/31/2017,European Tour EU Card Holder Qualifier 6,Q,,
05/31/2017,European Tour EU Card Holder Qualifier 7,Q,,
06/04/2017,World Cup,U,,
06/08/2017,European Tour Home Nation Qualifier 6,Q,,
06/10/2017,Challenge Tour 13,-,Warrick Scheffer,
06/10/2017,Challenge Tour 14,-,Kevin McDine,
06/11/2017,Challenge Tour 15,-,Mark Dudbridge,
06/11/2017,Challenge Tour 16,-,Matthew Edgar,
06/11/2017,European Tour 6,ET,Michael van Gerwen,103.88
06/16/2017,European Tour UK Card Holder Qualifier 8,Q,,
06/17/2017,Players Championship 13,PT,Steve Beaton,100.61
06/18/2017,Players Championship 14,PT,Gary Anderson,98.23
06/22/2017,European Tour Home Nation Qualifier 7,Q,,
06/24/2017,European Tour 7,ET,Michael van Gerwen,102.12
06/29/2017,European Tour EU Card Holder Qualifier 8,Q,,
06/29/2017,European Tour Home Nation Qualifier 8,Q,,
07/01/2017,European Tour 8,ET,Peter Wright,98.6
07/07/2017,European Tour UK Card Holder Qualifier 9,Q,,
07/07/2017,World Series of Darts 2,U,Michael van Gerwen,102.64
07/08/2017,Players Championship 15,PT,Darren Webster,96.72
07/09/2017,Players Championship 16,PT,Joe Cullen,94.19
07/15/2017,World Series of Darts 3,U,Michael van Gerwen,100.01
07/30/2017,World Matchplay,MJ,Phil Taylor,101.47
08/04/2017,European Tour UK Card Holder Qualifier 10,Q,,
08/04/2017,European Tour UK Card Holder Qualifier 11,Q,,
08/05/2017,Players Championship 17,PT,Kyle Anderson,98.39
08/06/2017,Players Championship 18,PT,Dave Chisnall,98.44
08/13/2017,World Series of Darts 4,U,Kyle Anderson,95.8
08/20/2017,World Series of Darts 5,U,Phil Taylor,97.03
08/27/2017,World Series of Darts 6,U,Gary Anderson,100.73
08/31/2017,European Tour EU Card Holder Qualifier 9,Q,,
08/31/2017,European Tour EU Card Holder Qualifier 10,Q,,
08/31/2017,European Tour Home Nation Qualifier 9,Q,,
09/03/2017,European Tour 9,ET,Michael van Gerwen,102.36
09/07/2017,European Tour Home Nation Qualifier 10,Q,,
09/09/2017,Challenge Tour 17,-,Peter Jacques,
09/09/2017,Challenge Tour 18,-,Nick Fullwell,
09/10/2017,Challenge Tour 19,-,Wayne Jones,
09/10/2017,Challenge Tour 20,-,Alan Tabern,
09/10/2017,European Tour 10,ET,Michael van Gerwen,104.59
09/16/2017,Development Tour 13,-,Dimitri Van den Bergh,
09/16/2017,Development Tour 14,-,Mike van Duivenbode,
09/17/2017,Champions League,U,Mensur Suljović,96.73
09/17/2017,Development Tour 15,-,Martin Schindler,
09/17/2017,Development Tour 16,-,Luke Humphries,
09/21/2017,European Tour EU Card Holder Qualifier 11,Q,,
09/21/2017,European Tour EU Card Holder Qualifier 12,Q,,
09/21/2017,European Tour Home Nation Qualifier 11,Q,,
09/24/2017,European Tour 11,ET,Peter Wright,95.67
09/28/2017,European Tour UK Card Holder Qualifier 12,Q,,
09/29/2017,Players Championship 19,PT,Rob Cross,3
09/30/2017,Players Championship 20,PT,Mensur Suljović,3
10/07/2017,World Grand Prix,MJ,Daryl Gurney,87.38
10/09/2017,World Series Finals Tour Card Qualifier,Q,,
10/10/2017,Players Championship 21,PT,Rob Cross,3
10/11/2017,Players Championship 22,PT,Jonny Clayton,3
10/12/2017,European Tour Home Nation Qualifier 12,Q,,
10/15/2017,European Tour 12,ET,Michael van Gerwen,99.67
10/22/2017,World Series of Darts 7,U,Peter Wright,96.09
10/29/2017,European Championship,MJ,Michael van Gerwen,101.1
11/04/2017,Development Tour 17,-,Mike De Decker,
11/04/2017,Development Tour 18,-,Ted Evetts,
11/05/2017,Development Tour 19,-,Rowby-John Rodriguez,
11/05/2017,Development Tour 20,-,Luke Humphries,
11/05/2017,World Series of Darts Finals,U,Michael van Gerwen,101.86
11/06/2017,Grand Slam Qualifier,Q,,
11/19/2017,Grand Slam,MJ,Michael van Gerwen,104.74
11/26/2017,Players Championship Finals,MJ,Michael van Gerwen,104.21
11/26/2017,World Youth Championship,-,Dimitri Van den Bergh,3
11/27/2017,World Championship Tour Card Holder Qualifier,Q,Ted Evetts,3
01/02/2018,World Championship,WC,Rob Cross,101.63
01/18/2018,PDC Tour Card European Qualifying School 1,Q,Jeffrey de Zwaan,3
01/18/2018,PDC Tour Card UK Qualifying School 1,Q,,
01/19/2018,PDC Tour Card European Qualifying School 2,Q,Mario Robbe,3
01/19/2018,PDC Tour Card UK Qualifying School 2,Q,,
01/20/2018,PDC Tour Card European Qualifying School 3,Q,Tytus Kanik,3
01/20/2018,PDC Tour Card UK Qualifying School 3,Q,,
01/21/2018,PDC Tour Card European Qualifying School 4,Q,Gabriel Clemens,3
01/21/2018,PDC Tour Card UK Qualifying School 4,Q,,
01/27/2018,Challenge Tour 1,-,Simon Preston,3
01/27/2018,Challenge Tour 2,-,Diogo Portela,3
01/28/2018,Challenge Tour 3,-,Martin Atkins (Wigan),3
01/28/2018,Challenge Tour 4,-,Jason Cullen,3
01/28/2018,Masters,U,Michael van Gerwen,104.99
02/02/2018,UK Open Qualifier 1,PT,Michael van Gerwen,105.25
02/03/2018,UK Open Qualifier 2,PT,Michael van Gerwen,100
02/04/2018,UK Open Qualifier 3,PT,Michael Smith,97.97
02/09/2018,UK Open Qualifier 4,PT,Gary Anderson,97.27
02/10/2018,UK Open Qualifier 5,PT,Corey Cadby,99.7
02/11/2018,UK Open Qualifier 6,PT,Krzysztof Ratajski,98.09
02/16/2018,European Tour UK Card Holder Qualifier 1,Q,,
02/16/2018,European Tour UK Card Holder Qualifier 2,Q,,
02/17/2018,Players Championship 1,PT,Michael van Gerwen,101.23
02/18/2018,Players Championship 2,PT,Michael van Gerwen,98.71
03/04/2018,UK Open,MJ,Gary Anderson,97.64
03/09/2018,European Tour UK Card Holder Qualifier 3,Q,,
03/09/2018,European Tour UK Card Holder Qualifier 4,Q,,
03/10/2018,Players Championship 3,PT,Gary Anderson,101.73
03/11/2018,Players Championship 4,PT,Gary Anderson,96.98
03/17/2018,Players Championship 5,PT,Michael van Gerwen,101.19
03/18/2018,Players Championship 6,PT,Ian White,97.91
03/22/2018,European Tour EU Card Holder Qualifier 1,Q,,
03/22/2018,European Tour EU Card Holder Qualifier 2,Q,,
03/22/2018,European Tour Home Nation Qualifier 1,Q,,
03/24/2018,Challenge Tour 5,-,John Davey,88.39
03/24/2018,Challenge Tour 6,-,Michael Barnard,96.64
03/25/2018,Challenge Tour 7,-,Dennis Nilsson,83.29
03/25/2018,Challenge Tour 8,-,Ted Evetts,88.64
03/25/2018,European Tour 1,ET,Michael van Gerwen,101.43
03/30/2018,European Tour Home Nation Qualifier 2,Q,,
04/02/2018,European Tour 2,ET,Michael van Gerwen,99.65
04/06/2018,European Tour UK Card Holder Qualifier 5,Q,,
04/06/2018,European Tour UK Card Holder Qualifier 6,Q,,
04/07/2018,Players Championship 7,PT,Michael Smith,97.7
04/08/2018,Players Championship 8,PT,Mickey Mansell,94.94
04/12/2018,European Tour EU Card Holder Qualifier 3,Q,,
04/12/2018,European Tour EU Card Holder Qualifier 4,Q,,
04/12/2018,European Tour Home Nation Qualifier 3,Q,,
04/14/2018,Development Tour 1,-,Nathan Rafferty,87.01
04/14/2018,Development Tour 2,-,Wessel Nijman,81.42
04/15/2018,Development Tour 3,-,Rob Hewson,83.8
04/15/2018,Development Tour 4,-,Niels Zonneveld,81.75
04/15/2018,European Tour 3,ET,Max Hopp,94.64
04/19/2018,European Tour Home Nation Qualifier 4,Q,,
04/22/2018,European Tour 4,ET,Jonny Clayton,92.33
04/28/2018,CDC Pro Tour 1,-,Gary Mawson,85.75
04/28/2018,Players Championship 9,PT,Michael van Gerwen,100.75
04/29/2018,CDC Pro Tour 2,-,Chuck Puleo,83.83
04/29/2018,Players Championship 10,PT,Jeffrey de Zwaan,95.37
05/03/2018,European Tour EU Card Holder Qualifier 5,Q,,
05/03/2018,European Tour EU Card Holder Qualifier 6,Q,,
05/03/2018,European Tour Home Nation Qualifier 5,Q,,
05/05/2018,Challenge Tour 9,-,Cody Harris,91.12
05/05/2018,Challenge Tour 10,-,Michael Barnard,92.88
05/06/2018,Challenge Tour 11,-,Michael Barnard,94.49
05/06/2018,Challenge Tour 12,-,Adam Huckvale,89.47
05/06/2018,European Tour 5,ET,Michael van Gerwen,107.58
05/10/2018,European Tour Home Nation Qualifier 6,Q,,
05/13/2018,European Tour 6,ET,Michael van Gerwen,95.87
05/17/2018,Premier League,U,Michael van Gerwen,104.21
05/18/2018,European Tour UK Card Holder Qualifier 7,Q,,
05/18/2018,European Tour UK Card Holder Qualifier 8,Q,,
05/19/2018,CDC Pro Tour 3,-,Leonard Gates,88.2
05/19/2018,Players Championship 11,PT,Gary Anderson,99.87
05/20/2018,CDC Pro Tour 4,-,Darin Young,84.13
05/20/2018,Players Championship 12,PT,Josh Payne,92.64
05/25/2018,World Series of Darts 1,U,Mensur Suljović,97.58
05/26/2018,Development Tour 5,-,Rowby-John Rodriguez,3
05/26/2018,Development Tour 6,-,Kenny Neyens,3
05/27/2018,Development Tour 7,-,Luke Humphries,3
05/27/2018,Development Tour 8,-,Ted Evetts,3
05/30/2018,European Tour EU Card Holder Qualifier 7,Q,,
05/30/2018,European Tour EU Card Holder Qualifier 8,Q,,
06/03/2018,World Cup,U,,
06/07/2018,European Tour Home Nation Qualifier 7,Q,,
06/09/2018,Development Tour 9,-,Martin Schindler,88.74
06/09/2018,Development Tour 10,-,Martin Schindler,91.96
06/10/2018,Development Tour 11,-,Ryan Meikle,87.76
06/10/2018,Development Tour 12,-,Ted Evetts,89.65
06/10/2018,European Tour 7,ET,Michael van Gerwen,104.6
06/15/2018,European Tour UK Card Holder Qualifier 9,Q,,
06/15/2018,European Tour UK Card Holder Qualifier 10,Q,,
06/16/2018,Players Championship 13,PT,Rob Cross,98.14
06/17/2018,Players Championship 14,PT,Peter Wright,96.2
06/21/2018,European Tour Home Nation Qualifier 8,Q,,
06/23/2018,CDC Pro Tour 5,-,Leonard Gates,92.76
06/24/2018,CDC Pro Tour 6,-,Darin Young,84.92
06/24/2018,European Tour 8,ET,Mensur Suljović,98.47
06/26/2018,Players Championship 15,PT,Mervyn King,93.94
06/27/2018,Players Championship 16,PT,Ian White,98.43
06/28/2018,European Tour EU Card Holder Qualifier 9,Q,,
06/28/2018,European Tour Home Nation Qualifier 9,Q,,
07/01/2018,European Tour 9,ET,Michael van Gerwen,103.06
07/05/2018,North American Darts Championship,-,Jeff Smith,86.46
07/07/2018,World Series of Darts 2,U,Gary Anderson,101.74
07/14/2018,World Series of Darts 3,U,Michael Smith,94.2
07/29/2018,World Matchplay,MJ,Gary Anderson,100.88
08/04/2018,CDC Pro Tour 7,-,Nick Linberg,85.06
08/05/2018,CDC Pro Tour 8,-,Chuck Puleo,85.22
08/05/2018,World Series of Darts 4,U,Michael van Gerwen,101.94
08/12/2018,World Series of Darts 5,U,Peter Wright,100.91
08/19/2018,World Series of Darts 6,U,Rob Cross,99.33
08/25/2018,CDC Pro Tour 9,-,John Part,85.43
08/26/2018,CDC Pro Tour 10,-,Chuck Puleo,85.38
08/30/2018,European Tour EU Card Holder Qualifier 10,Q,,
08/30/2018,European Tour EU Card Holder Qualifier 11,Q,,
08/30/2018,European Tour Home Nation Qualifier 10,Q,,
09/02/2018,European Tour 10,ET,Michael van Gerwen,103.56
09/03/2018,European Tour UK Card Holder Qualifier 11,Q,,
09/03/2018,European Tour UK Card Holder Qualifier 12,Q,,
09/04/2018,Players Championship 17,PT,Peter Wright,95.13
09/05/2018,Players Championship 18,PT,Nathan Aspinall,96.69
09/06/2018,European Tour Home Nation Qualifier 11,Q,,
09/08/2018,Challenge Tour 13,-,Jamie Hughes,97.68
09/08/2018,Challenge Tour 14,-,Krzysztof Ratajski,94.33
09/09/2018,Challenge Tour 15,-,Cameron Menzies,91.51
09/09/2018,Challenge Tour 16,-,Lee Budgen,88.34
09/09/2018,European Tour 11,ET,Ian White,96.87
09/13/2018,European Tour EU Card Holder Qualifier 12,Q,,
09/13/2018,European Tour EU Card Holder Qualifier 13,Q,,
09/13/2018,European Tour Home Nation Qualifier 12,Q,,
09/16/2018,European Tour 12,ET,Gerwyn Price,95.74
09/22/2018,Development Tour 13,-,Luke Humphries,89.46
09/22/2018,Development Tour 14,-,George Killington,86.11
09/23/2018,Champions League,U,Gary Anderson,100.43
09/23/2018,Development Tour 15,-,Dimitri Van den Bergh,94.94
09/23/2018,Development Tour 16,-,Jarred Cole,85.83
09/27/2018,European Tour UK Card Holder Qualifier 13,Q,,
09/28/2018,Players Championship 19,PT,Max Hopp,92.61
09/29/2018,Players Championship 20,PT,Danny Noppert,93.96
10/05/2018,European Tour Nordic and Baltic Qualifier 1,Q,Madars Razma,88.33
10/05/2018,European Tour Nordic and Baltic Qualifier 2,Q,Kim Viljanen,88.93
10/06/2018,European Tour Nordic and Baltic Qualifier 3,Q,Magnus Caris,90.45
10/06/2018,World Grand Prix,MJ,Michael van Gerwen,93.97
10/11/2018,European Tour Home Nation Qualifier 13,Q,,
10/14/2018,European Tour 13,ET,Michael van Gerwen,105.82
10/19/2018,World Series Finals Tour Card Qualifier,Q,,
10/20/2018,Players Championship 21,PT,Krzysztof Ratajski,97.25
10/21/2018,Players Championship 22,PT,Krzysztof Ratajski,94.88
10/28/2018,European Championship,MJ,James Wade,93.61
11/03/2018,Development Tour 17,-,Luke Humphries,91.14
11/03/2018,Development Tour 18,-,Berry van Peer,88.52
