Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
16.05.1979,2003,,Japan,Rechtshänderin,Dynasty 20g, Mayumi Ouchi,Ouchi M.
15.03.2008,2019,,England,Rechtshänderin,Target Darts, Paige Pauling,Pauling P.
03.02.1975,1988,,Dänemark,Rechtshänderin,, Ann-Louise Peters,Peters A.
21.07.1987,2017,,Polen,Rechtshänderin,, Karolina Podgórska,Podgórska K.
24.08.1988,2006,2010,Niederlande,Rechtshänderin,John Part 25g, Sharon Prins,Prins S.
24.02.1974,1988,,Schweden,Rechtshänderin,One80 Signature 23g, Vicky Pruim,Pruim V.
15.07.1983,,,Deutschland,Rechtshänderin,, Ina Rademacher,Rademacher I.
27.09.1999,2019,,Neuseeland,Rechtshänderin,Shot 23g, Nicole Regnaud,Regnaud N.
14.04.1976,2002,,Deutschland,Rechtshänderin,, Stefanie Rennoch,Rennoch S.
18.08.2004,,,Deutschland,Rechtshänderin,Mission Darts, Wibke Riemann,Riemann W.
19.10.2002,2014,,Niederlande,Rechtshänderin,Peter Wright Mamba V2, Lerena Rietbergen,Rietbergen L.
28.03.1999,,,Deutschland,Rechtshänderin,, Sara Schliemann,Schliemann S.
18.09.2001,2012,,Deutschland,Rechtshänderin,Jochen Weißmann Handmade, Christina Schuler,Schuler C.
19.04.1979,2009,,Niederlande,Rechtshänderin,, Tamara Schuur,Schuur T.
23.12.2003,2015,,Irland,Rechtshänder,Target Signature, Katie Sheldon,Sheldon K.
01.07.1994,2010,2012,England,Rechtshänderin,Dynasty Fallon Signature 23g, Fallon Sherrock,Sherrock F.
,,,Deutschland,Rechtshänderin,, Julia Siek,Siek J.
05.09.1986,1998,,England,Linkshänderin,Superdarts Suzanne 26g, Suzanne Smith,Smith S.
25.07.1998,2016,,Niederlande,Rechtshänderin,, Priscilla Steenbergen,Steenbergen P.
,1996,,England,Rechtshänderin,, Margaret Sutton,Sutton M.
05.02.1982,2007,2017,Japan,Rechtshänderin,Target Miracle 24g, Mikuru Suzuki,Suzuki M.
,,,Neuseeland,Rechtshänderin,, Mary-Anne Teinaki,Teinaki M.
04.02.2003,,,Ungarn,Rechtshänderin,, Greta Tekauer,Tekauer G.
01.09.1970,,,Niederlande,Rechtshänderin,24g, Astrid Trouwborst,Trouwborst A.
