Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
10.04.1990,2017,2021,Deutschland,Rechtshänder,Winmau 24g,Florian Hempel,Hempel F.
04.05.1973,2002,,Schottland,,Red Dragon 24g,John Henderson,Henderson J.
04.01.1974,,,Belgien,Rechtshänder,Winmau 21g,Stefaan Henderyck,Henderyck S.
25.10.1988,1998,2012,Niederlande,Rechtshänder,,Jerry Hendriks,Hendriks J.
19.03.1994,2000,2010,Niederlande,Rechtshänder,One80 22g,Jimmy Hendriks,Hendriks J.
29.09.1998,,,Irland,Rechtshänder,Gary Anderson 21g,Conor Heneghan,Heneghan C.
04.10.1991,2009,,Neuseeland,Rechtshänder,24g Red Dragon,Darren Herewini,Herewini D.
10.04.2003,,,Niederlande,Rechtshänder,21g,Jamai van den Herik,van den Herik J.
01.01.1984,,,Schweiz,Rechtshänder,Handmade 18g,Roger Hertig,Hertig R.
07.01.1994,2014,,Deutschland,Rechtshänder,,Fabian Herz,Herz F.
04.04.2000,2014,,Deutschland,Rechtshänder,,Sven Hesse,Hesse S.
10.08.1987,2007,2020,Australien,Rechtshänder,Harrows 23g,Damon Heta,Heta D.
02.04.2002,,,Gibraltar,Rechtshänder,Shot,Justin Hewitt,Hewitt J.
07.06.1993,,,England,Rechtshänder,,Sam Hewson,Hewson S.
22.07.1970,1984,2010,England,Rechtshänder,A180,Nigel Heydon,Heydon N.
,,,Japan,Rechtshänder,,Yuya Higuchi,Higuchi Y.
03.11.1995,,,Deutschland,Rechtshänder,,Moritz Hilger,Hilger M.
25.03.1973,2017,,Deutschland,Rechtshänder,,Sven Hilling,Hilling S.
20.04.1969,1986,2004,England,Rechtshänder,Loxley Darts 23g,Steve Hine,Hine S.
24.03.1977,,,Tschechien,Rechtshänder,,Jan Hlavacek,Hlavacek J.
02.04.1981,1998,,Deutschland,Linkshänder,Didier Krampfl Handmade Darts - Tobias Höntsch,Tobias Höntsch,Höntsch T.
19.06.2007,,,Deutschland,Rechtshänder,,Yorick Hofkens,Hofkens Y.
21.04.1977,1996,2001-2015,Niederlande,Rechtshänder,23g John Part,Rick Hofstra,Hofstra R.
30.08.1963,1989,1995,England,Rechtshänder,Elvendarts 24g,Paul Hogan,Hogan P.
25.01.1992,2011,2018,Schottland,Rechtshänder,,Ryan Hogarth,Hogarth R.
28.05.1982,2002,2013-2015,Schottland,Rechtshänder,18g,Jason Hogg,Hogg J.
13.09.1985,2015,,Niederlande,Rechtshänder,16g,Erik Hol,Hol E.
13.06.1998,,,England,Rechtshänder,,Christopher Holt,Holt C.
,,,Deutschland,Rechtshänder,,Ole Holtkamp,Holtkamp O.
10.04.1975,,,Deutschland,Rechtshänder,,Mike Holz,Holz M.
24.08.1976,2004,,Hong Kong,Rechtshänder,21g,Alex Hon,Hon A.
29.04.1993,2008,2025,England,Linkshänder,Target 23g,Justin Hood,Hood J.
29.08.1988,,,Niederlande,Rechtshänder,Adrian Lewis Darts,Bryan de Hoog,de Hoog B.
20.08.1996,2007,2012,Deutschland,Rechtshänder,,Max Hopp,Hopp M.
10.01.2001,2011,,Deutschland,Rechtshänder,Evo 26g,Nicolas Horn,Horn N.
08.04.1975,,1997,Niederlande,Rechtshänder,Grand Slam Signature,Michel van der Horst,van der Horst M.
08.01.1976,1999,,Deutschland,Rechtshänder,,Dragutin Horvat,Horvat D.
19.12.1965,1995,,England,Rechtshänder,Target 25g,Richie Howson,Howson R.
24.07.1992,2005,2011,England,Rechtshänder,Harrows 22g,James Hubbard,Hubbard J.
03.07.1990,2010,2015,England,Rechtshänder,24g,Adam Huckvale,Huckvale A.
20.04.1984,2004,2010,England,Rechtshänder,25g Target,Peter Hudson,Hudson P.
27.02.1986,1996,2007,England,Rechtshänder,,Jamie Hughes,Hughes J.
12.12.1962,1988,,Wales,Rechtshänder,,Robert Hughes,Hughes R.
11.02.1995,2011,2018,England,Rechtshänder,Red Dragon Signature 22g,Luke Humphries,Humphries L.
,,,Tschechien,Rechtshänder,,Frantisek Humpula,Humpula F.
21.08.1993,2009,2012,England,Rechtshänder,Unicorn 22g,Adam Hunt,Hunt A.
01.11.1971,,,Wales,Rechtshänder,,Mike Huntley,Huntley M.
07.07.1984,2010,,England,Rechtshänder,Mission Darts,James Hurrell,Hurrell J.
16.09.1984,2013,,Neuseeland,Rechtshänder,Shot 22g,John Hurring,Hurring J.
24.04.1979,1996,,Deutschland,Rechtshänder,Elimate Darts 22g,Michael Hurtz,Hurtz M.
16.11.1985,1996,2011,Belgien,Rechtshänder,,Kim Huybrechts,Huybrechts K.
20.07.1965,1989,2013,Belgien,Rechtshänder,Unicorn Contender 22g,Ronny Huybrechts,Huybrechts R.
30.05.1966,1980er,2010,England,Linkshänder,,Mark Hylton,Hylton M.
11.02.1978,1993,,Philippinen,Rechtshänder,,Lourence Ilagan,Ilagan L.
10.03.1981,,,Deutschland,Rechtshänder,,Lutz Ilzhöfer,Ilzhöfer L.
22.09.1974,2009,,Russland,Rechtshänder,16g,Evgeniy Izotov,Izotov E.
24.03.1984,2007,,England,Rechtshänder,Target 24g,Matt Jackson,Jackson M.
29.03.1973,,,England,Rechtshänder,Cosmo Darts,Peter Jacques,Jacques P.
,,,Ungarn,Rechtshänder,,Gábor Jagicza,Jagicza G.
15.05.2002,2018,2022,Niederlande,Rechtshänder,,Danny Jansen,Jansen D.
21.04.1977,1997,,Belgien,Rechtshänder,,Roger Janssen,Janssen R.
11.03.1971,1980er,,England,,Dynamic Series Andy Jenkins 19g,Andy Jenkins,Jenkins A.
26.09.1963,1977,2003,England,Rechtshänder,Unicorn 21g,Terry Jenkins,Jenkins T.
,2012,,Dänemark,Linkshänder,,Alex Jensen,Jensen A.
20.11.1993,2017,,Deutschland,Rechtshänder,18g,Christian Jentschke,Jentschke C.
11.07.,,,Portugal,Rechtshänder,,Vítor Jerónimo,Jerónimo V.
31.07.1998,,,Deutschland,Rechtshänder,,David Jeske,Jeske D.
21.05.1970,1990,2011,England,Rechtshänder,Showtime Own Brand 22g,Prakash Jiwa,Jiwa P.
13.08.2003,2015,,Deutschland,Rechtshänder,Elimate Darts 19g,Maximilian Johansen,Johansen M.
18.09.1966,2004,2011-2019,England,Rechtshänder,Showtime 23g,Darren Johnson,Johnson D.
,,,Australien,Rechtshänder,,Howard Jones,Jones H.
02.07.1961,,,England,Rechtshänder,,Ian Jones,Jones I.
30.12.1993,,2021,England,Rechtshänder,,Jake Jones,Jones J.
21.04.1970,2000,,England,Rechtshänder,26g Cooper Tungsten,Mark Jones,Jones M.
24.04.1965,1983,2002,England,Rechtshänder,A180 20g,Wayne Jones,Jones W.
20.09.1985,2004,2013,England,Rechtshänder,Bit of Bully Signature 21g,Ryan Joyce,Joyce R.
22.01.1977,1995,,Deutschland,Rechtshänder,Mission Darts 23g,Thomas Junghans,Junghans T.
31.03.1969,,,Rumänien,Rechtshänder,,Laszlo Kadar,Kadar L.
31.12.1985,2008,,Russland,Rechtshänder,,Aleksei Kadochnikov,Kadochnikov A.
13.06.1982,1998,2016,Österreich,Rechtshänder,Evolution 21g,Christian Kallinger,Kallinger C.
22.10.1991,2011,,Niederlande,Rechtshänder,MasterDarts 22g,Dennie Olde Kalter,Olde Kalter D.
07.05.1980,2010,2016,Niederlande,Rechtshänder,Target Darts,Vincent Kamphuis,Kamphuis V.
17.05.1984,2015,2019,Polen,Rechtshänder,,Tytus Kanik,Kanik T.
24.08.1968,1989,,Finnland,,,Marko Kantele,Kantele M.
,,,England,Rechtshänder,,Andrew Kateley,Kateley A.
,2017,,England,Rechtshänder,,Keelan Kay,Kay K.
11.06.1980,,,Polen,Rechtshänder,,Krzysztof Kciuk,Kciuk K.
12.08.1981,,2007,England,Rechtshänder,Stuart Kellett Red Dragon Signature 23g,Stuart Kellett,Kellett S.
09.07.1994,2007,,Australien,Rechtshänder,Puma Darts Russell Stewart Legend 23g,Harley Kemp,Kemp H.
13.03.1993,2012,2020,Wales,Rechtshänder,RedDragon 21g,Nick Kenny,Kenny N.
06.09.1985,,,Deutschland,Rechtshänder,,Markus Keßler,Keßler M.
23.05.1996,2012,2018,England,Rechtshänder,,George Killington,Killington G.
15.03.1966,1979,,England,,Winmau Mervyn King 22g,Mervyn King,King M.
29.10.1993,2010,,Australien,Rechtshänder,Puma Darts Legend 25g,Robbie King,King R.
,,,Deutschland,Rechtshänder,,Marcus Kirchmann,Kirchmann M.
27.08.1969,1989,,USA,Rechtshänder,20g One80 Signature,Scott Kirchner,Kirchner S.
03.03.1992,2008,2017,England,Rechtshänder,Unicorn 23g,Aden Kirk,Kirk A.
31.05.1994,2015,,England,Rechtshänder,Harrows Gyro,Bradley Kirk,Kirk B.
1972,2016,,Schottland,Rechtshänder,XQ Max Velocity 24g,David Kirwan,Kirwan D.
21.04.1986,2009,2014,Niederlande,Rechtshänder,Loxley Darts 24g,Christian Kist,Kist C.
17.10.1984,2003,2006,Niederlande,Rechtshänder,One80 22g,Jelle Klaasen,Klaasen J.
19.02.1991,2009,2018,Niederlande,Rechtshänder,,Martijn Kleermaker,Kleermaker M.
,,,Australien,Rechtshänder,,Brody Klinge,Klinge B.
05.09.1987,2016,,Deutschland,Rechtshänder,Target Dimitri van den Bergh One 23g,Patrick Klingelhöfer,Klingelhöfer P.
30.10.1979,,,Deutschland,Rechtshänder,20g,Daniel Klose,Klose D.
20.08.,,,Deutschland,Rechtshänder,,Michael Klönhammer,Klönhammer M.
28.10.1991,,,Deuschland,Rechtshänder,Evolution,Jens Kniest,Kniest J.
14.10.1996,2002,,Deutschland,Rechtshänder,Kevin Knopf EVO 24g,Kevin Knopf,Knopf K.
29.11.1982,,,Belgien,Rechtshänder,,Robbie Knops,Knops R.
22.02.1977,1990,,Deutschland,,,Karsten Koch,Koch K.
16.03.1999,2019,,Deutschland,Rechtshänder,Datadart Marvin Koch 21g,Marvin Koch,Koch M.
30.07.1972,,,Deutschland,Rechtshänder,Evo,Thomas Köhnlein,Köhnlein T.
07.06.1976,1996,,Neuseeland,Rechtshänder,Loxley Darts 23g,Koha Kokiri,Kokiri K.
28.11.2003,2014,,Deutschland,Rechtshänder,One 80 Rectifier,Ron Leon Kolberg,Leon Kolberg R.
10.09.1988,2012,2021,Russland,Rechtshänder,Shot,Boris Koltsov,Koltsov B.
13.03.1976,,,Finnland,Rechtshänder,,Jarkko Komula,Komula J.
28.07.1990,,,Niederlande,Rechtshänder,23g,Arjan Konterman,Konterman A.
,2011,,Ungarn,Rechtshänder,,Patrik Kovacs,Kovacs P.
06.05.2000,,,Deutschland,Rechtshänder,,Marvin Kraft,Kraft M.
13.09.1979,1999,2008,Kroatien,Rechtshänder,16g,Boris Krcmar,Krcmar B.
27.12.2000,2022,,Deutschland,Rechtshänder,,Paul Krohne,Krohne P.
,2009,,Polen,Rechtshänder,,Jacek Krupka,Krupka J.
25.09.1988,2016,2019,Niederlande,Rechtshänder,,Maik Kuivenhoven,Kuivenhoven M.
14.11.1985,,,Indien,Rechtshänder,Winmau 23g,Nitin Kumar,Kumar N.
11.01.1969,2008,,Deutschland,Rechtshänder,,Frank Kunze,Kunze F.
31.01.1997,2014,,Deutschland,Rechtshänder,EVO Handmade Darts 20g,Nico Kurz,Kurz N.
26.07.1976,2019,2006,Litauen,Rechtshänder,Cosmo Darts Signature 24g,Darius Labanauskas,Labanauskas D.
,2010,,Frankreich,Rechtshänder,Cosmo Darts 23g,Jacques Labre,Labre J.
,1991,,Neuseeland,Rechtshänder,,Mick Lacey,Lacey M.
05.04.2001,2017,,Ungarn,Rechtshänder,,Gergely Lakatos,Lakatos G.
08.09.1975,2003,2013,Hongkong,Rechtshänder,Cosmo Darts 22g,Ting Chi Royden Lam,Chi Royden Lam T.
17.01.1981,,2016,Niederlande,Rechtshänder,,Chris Landman,Landman C.
05.08.1992,2010,,England,Rechtshänder,,Harry Lane,Lane H.
11.03.1972,2004,,,Rechtshänder,,Maik Langendorf,Langendorf M.
27.04.2001,2015,,Österreich,Rechtshänder,,Thomas Langer,Langer T.
23.12.2004,,,England,Rechtshänder,Gary Anderson Phase 1 26g,Charlie Large,Large C.
09.06.1981,1995,2004,Schweden,Rechtshänder,Shot 24g,Daniel Larsson,Larsson D.
11.12.1992,2010,,USA,Linkshänder,Target Darts,Danny Lauby Jnr.,Lauby Jnr. D.
09.05.2007,2015,,Lettland,Rechtshänder,,Ralfs Laumanis,Laumanis R.
,,,Finnland,Rechtshänder,,Jani Laurila,Laurila J.
16.04.1966,1986,2000,Dänemark,Rechtshänder,,Per Laursen,Laursen P.
16.10.1957,2000,,Wales,Rechtshänder,24g,Mark Layton,Layton M.
16.03.1952,1973,1975-2007,England,Rechtshänder,20g Golden Unicorn,Cliff Lazarenko,Lazarenko C.
14.02.2001,,,Hongkong,Rechtshänder,,Lok Yin Lee,Yin Lee L.
15.09.1984,1997,2020,Österreich,Rechtshänder,Shot 16g,Harald Leitinger,Leitinger H.
18.05.1982,,,Schweden,Rechtshänder,,Björn Lejon,Lejon B.
25.11.1993,2011,2017,Irland,Rechtshänder,,Steve Lennon,Lennon S.
30.05.1972,,2014,Österreich,Rechtshänder,DPuls Darts,Zoran Lerchbacher,Lerchbacher Z.
11.09.1983,2008,,Hongkong,Linkshänder,22g,Kai Fan Leung,Fan Leung K.
2000,,,Hongkong,Rechtshänder,,Man Lok Leung,Lok Leung M.
21.01.1985,1995,2004,England,Rechtshänder,Target Adrian Lewis Gen 2 23g,Adrian Lewis,Lewis A.
08.11.1991,1999,2011,Wales,Rechtshänder,Red Dragon 23g,Jamie Lewis,Lewis J.
,,,China,Rechtshänder,,Weihong Li,Li W.
01.07.1976,2018,,Taiwan,Rechtshänder,Cosmo Darts,Pupo Teng Lieh,Teng Lieh P.
11.04.1970,1984,,Singapur,Linkshänder,Target Darts,Harith Lim,Lim H.
25.01.1954,1981,,,,,Paul Lim,Lim P.
21.12.1977,1997,,Dänemark,Rechtshänder,22g,Dennis Lindskjold,Lindskjold D.
30.05.1992,2012,2025,England,Rechtshänder,Target 25g,Adam Lipscombe,Lipscombe A.
,,,Deutschland,Rechtshänder,,Luis Liptow,Liptow L.
21.01.2007,2008,2024,England,Rechtshänder,Target,Luke Littler,Littler L.
20.12.1972,,,China,Linkshänder,Cuesoul 21g,Chengan Liu,Liu C.
21.04.1982,,,China,Rechtshänder,,Yuanjun Liu,Liu Y.
,2017,,China,Rechtshänder,,Wenqing Liu,Liu W.
17.12.1985,,,Kroatien,Linkshänder,21g,Alan Ljubić,Ljubić A.
02.05.1978,2001,,Kroatien,Rechtshänder,DiD Pero Ljubic V1 Steeldarts 21 Gramm und Softdarts 17 Gramm,Pero Ljubić,Ljubić P.
,,,Australien,Rechtshänder,,Brenton Lloyd,Lloyd B.
07.08.1973,,,England,Rechtshänder,Red Dragon 18g,Colin Lloyd,Lloyd C.
20.03.1975,2010,,Dänemark,Rechtshänder,21g,Brian Løkken,Løkken B.
28.05.1968,,,Kanada,Rechtshänder,Winmau Stratos 24g,Jim Long,Long J.
08.11.1996,2013,,England,Rechtshänder,,Tom Lonsdale,Lonsdale T.
14.02.1987,2012,,Gibraltar,Rechtshänder,Dynasty 25g Hot Fuzz,Antony Lopez,Lopez A.
18.03.1969,,,Südafrika,Rechtshänder,,Charles Losper,Losper C.
,,,Australien,Rechtshänder,,Donovan Lottering,Lottering D.
16.02.1968,1992,2021,England,Rechtshänder,,Eddie Lovely,Lovely E.
28.06.1996,2019,,England,Rechtshänder,Unicorn 23g,Thomas Lovely,Lovely T.
30.10.1972,1991,2020,England,Rechtshänder,Red Dragon 26g,Jason Lowe,Lowe J.
21.07.1945,,,England,Rechtshänder,Unicorn World Champion Golden John 21g,John Lowe,Lowe J.
,2009,,China,Rechtshänder,,Jianfeng Lu,Lu J.
21.03.1997,,,Taiwan,Rechtshänder,,An Sheng Lu,Sheng Lu A.
28.11.1989,,,Deutschland,Rechtshänder,,Ole Luckow,Luckow O.
27.10.1991,1995,,Schweden,Rechtshänder,Mission Darts,Oskar Lukasiak,Lukasiak O.
28.10.1978,2010,,USA,Linkshänder,,Kevin Luke,Luke K.
26.03.1985,2011,2021,England,Rechtshänder,Mission Darts 24g,Martin Lukeman,Lukeman M.
18.03.1987,2007,2016,England,Rechtshänder,23g,Barry Lynn,Lynn B.
17.12.1974,,,England,Rechtshänder,,Patrick Lynskey,Lynskey P.
30.08.1973,2005,,Australien,Rechtshänder,,Peter Machin,Machin P.
21.02.1972,1996,2010-2017,Hong Kong,Rechtshänder,22g DMC Signature,Scott MacKenzie,MacKenzie S.
10.05.1992,,,Kanada,Rechtshänder,Raymond van Barneveld 22g,Jake Macmillan,Macmillan J.
09.04.1964,1992,,Guyana,Rechtshänder,Bottelsen 23g,Norman Madhoo,Madhoo N.
29.07.2004,2019,,Deutschland,Rechtshänder,,Liam Maendl-Lawrance,Maendl-Lawrance L.
28.07.1990,,,Ungarn,Rechtshänder,,Nándor Major,Major N.
10.06.1941,,,Nordirland,Rechtshänder,Hi-Tec Multi Ring 22g,John MaGowan,MaGowan J.
03.02.1974,,,Deutschland,Rechtshänder,,Marcus Maier,Maier M.
10.10.1996,,,England,Rechtshänder,,Jack Main,Main J.
22.11.1963,,,England,Rechtshänder,21g Target Pure,Steve Maish,Maish S.
04.11.2001,2011,,England,Linkshänder,Shot Darts Signature 25g,Jack Male,Male J.
10.01.1977,1999,,Philippinen,Rechtshänder,18g,Noel Malicdem,Malicdem N.
04.08.1975,,,Bahrain,Rechtshänder,Target 22g,Basem Mahmood,Mahmood B.
04.08.2005,,,England,Rechtshänder,,Charlie Manby,Manby C.
15.03.1988,,,Belgien,Rechtshänder,,Remo Mandiau,Mandiau R.
04.06.1989,2006,2009,Niederlande,Rechtshänder,,Willem Mandigers,Mandigers W.
04.01.1998,2008,,Österreich,Rechtshänder,,Nico Mandl,Mandl N.
07.03.1962,,,England,Rechtshänder,Winmau Tungsten 19g,Peter Manley,Manley P.
31.08.1973,1993,2010,Nordirland,Linkshänder,Cosmo Darts 22g,Michael Mansell,Mansell M.
10.05.1973,,,England,Rechtshänder,Target Wayne Hawaii 501 Mardle 24g,Wayne Mardle,Mardle W.
27.07.1966,1990,,Australien,Rechtshänder,Unicorn 23g,Dave Marland,Marland D.
23.03.1983,2017,,Portugal,Rechtshänder,,José Marques,Marques J.
18.06.2002,,,Australien,Rechtshänder,Mission Darts,Bailey Marsh,Marsh B.
04.08.1982,,,England,Rechtshänder,,Scott Marsh,Marsh S.
11.12.1969,,2022,,Rechtshänder,Masterdarts 23g,Tony Martinez,Martinez T.
04.03.1991,2012,,Tschechien,Rechtshänder,15g,Alexander Masek,Masek A.
23.01.1983,,,Deutschland,,,Mario Masurka,Masurka M.
29.09.1981,2012,,Australien,Rechtshänder,Shot Darts 20g,Gordon Mathers,Mathers G.
26.01.1972,,,Japan,Rechtshänder,Dynasty Jun Matsuda Signature Model,Jun Matsuda,Matsuda J.
17.05.1963,1989,1995,USA,Rechtshänder,,Gary Mawson,Mawson G.
23.08.1969,1988,,Niederlande,Rechtshänder,23g John Part,Edwin Max,Max E.
,2010,,Australien,Rechtshänder,,Brendon McCausland,McCausland B.
23.05.1985,2000,2004,Engand,Rechtshänder,DartsPower 24g,Kevin McDine,McDine K.
04.06.1985,2002,,Schottland,Rechtshänder,Mission Darts,Shaun McDonald,McDonald S.
,2013,,Schottland,Rechtshänder,,Jim McEwan,McEwan J.
22.07.1965,,,Nordirland,Rechtshänder,Unicorn 24g,Colin McGarry,McGarry C.
28.06.1972,,2010,England,Rechtshänder,Unicorn 23g,Mark McGeeney,McGeeney M.
01.02.1973,1980,2004,Irland,Rechtshänder,,Mick McGowan,McGowan M.
15.07.1968,,,Neuseeland,Rechtshänder,,Mark McGrath,McGrath M.
09.05.1995,,,Irland,Rechtshänder,Target Darts,Shane McGuirk,McGuirk S.
10.11.1986,2004,2017,Nordirland,Rechtshänder,,Kyle McKinstry,McKinstry K.
05.12.1989,2009,2012-2015,Irland,Rechtshänder,21g Tungsten,Michael Meaney,Meaney M.
18.04.1990,,,Italien,Rechtshänder,,Alessio Medaina,Medaina A.
09.09.1983,1993,,Niederlande,Rechtshänder,Custom,Matthew Medhurst,Medhurst M.
03.03.1998,,,England,Rechtshänder,,Liam Meek,Meek L.
11.05.1980,2006,2019,Niederlande,Rechtshänder,,Vincent van der Meer,van der Meer V.
31.01.1988,2009,2016,Niederlande,Rechtshänder,,Yordi Meeuwisse,Meeuwisse Y.
13.08.1996,2015,2016,England,Linkshänder,Red Dragon 22g,Ryan Meikle,Meikle R.
25.01.1985,,,Lettland,Rechtshänder,Target 22g,Valters Melderis,Melderis V.
27.06.1989,2006,2018,Schottland,Rechtshänder,Unicorn 24g,Cameron Menzies,Menzies C.
30.09.1992,,,Deutschland,Rechtshänder,,Arno Merk,Merk A.
20.03.1994,2003,,Niederlande,Rechtshänder,22g,Alexander Merkx,Merkx A.
,,,Ungarn,Rechtshänder,,Zoltán Mester,Mester Z.
05.11.1988,2001,2014,Niederlande,Linkshänder,Boxers 22g,Ron Meulenkamp,Meulenkamp R.
20.03.1974,1989,2015,Griechenland,Rechtshänder,One80 re-deadly 23g,John Michael,Michael J.
09.04.1981,2018,,Italien,Linkshänder,,Andrea Micheletti,Micheletti A.
23.10.1984,,,Niederlande,Rechtshänder,,Mareno Michels,Michels M.
09.08.1981,2008,,USA,Rechtshänder,Monster Elliot Milk 22g,Elliot Milk,Milk E.
23.05.2000,,,Neuseeland,Rechtshänder,Shot 23g,Kayden Milne,Milne K.
23.07.1997,,,Niederlande,Rechtshänder,,Jeroen Mioch,Mioch J.
05.06.1970,1986,,England,,Cosmo Darts 25g,Scott Mitchell,Mitchell S.
13.05.1972,1992,,Australien,Rechtshänder,Unicorn 23g,Rob Modra,Modra R.
08.01.1961,1985,,Brunei,Rechtshänder,24g Winmau,Pengiran Mohamed,Mohamed P.
26.05.1998,,2022,Niederlande,Rechtshänder,Target Storm 23g,Damian Mol,Mol D.
15.04.1990,2006,2011,England,Rechtshänder,Red Dragon,Arron Monk,Monk A.
29.09.1967,1985,2000-2011,England,Rechtshänder,Eigenmarke 23g,Colin Monk,Monk C.
16.10.1962,,2003,Schottland,Rechtshänder,Ross Montgomery Red Dragon 24g,Ross Montgomery,Montgomery R.
,2019,,Australien,Rechtshänder,One80 Signature Darts 21g,Aaron Morrison,Morrison A.
,,,Neuseeland,Rechtshänder,,Greg Moss,Moss G.
11.11.1999,2015,,England,Rechtshänder,Red Dragon 23g,Jim Moston,Moston J.
11.06.1990,2002,,Niederlande,Rechtshänder,,Pascal van Mourik,van Mourik P.
30.10.1994,2015,,Deutschland,Rechtshänder,Elimate Darts 23g,Justin Müller,Müller J.
,,,Deutschland,Rechtshänder,,Oliver Müller,Müller O.
27.07.1988,2001,,Deutschland,Linkshänder,,Kevin Münch,Münch K.
15.04.1977,2002,2010,Japan,Rechtshänder,Target 22g,Haruki Muramatsu,Muramatsu H.
28.09.1983,1993,2006,England,Rechtshänder,Mission Darts 24g,Joe Murnan,Murnan J.
11.08.1987,2010,2020,Schottland,Rechtshänder,Shot Darts 28g,Ryan Murray,Murray R.
23.11.1995,2011,2018,Kanada,Rechtshänder,Dawson Murschell Signature Barrel 22g,Dawson Murschell,Murschell D.
,,,Lettland,Rechtshänder,,Janis Mustafejevs,Mustafejevs J.
04.10.1979,,,Finnland,Rechtshänder,,Paavo Myller,Myller P.
12.05.2006,2015,,Deutschland,Rechtshänder,EVO German Eagle 21 Gramm,David Nachreiner,Nachreiner D.
17.08.1984,2004,,Hong Kong,Rechtshänder,26g Target,Leung Chen Nam,Chen Nam L.
20.06.1973,2014,,Schweden,Rechtshänder,,Ricky Nauman,Nauman R.
25.02.1958,1980,,Tschechien,Rechtshänder,Nodor 18g,Miloslav Navratil,Navratil M.
31.12.1994,2014,,Philippinen,Rechtshänder,Signature Darts 24g,Paolo Nebrida,Nebrida P.
17.06.2002,,,Gibraltar,Rechtshänder,,Sean Negrette,Negrette S.
04.09.1998,2013,,Niederlande,Linkshänder,,Geert Nentjes,Nentjes G.
05.04.1982,2009,2014,England,Rechtshänder,,Tony Newell,Newell T.
27.08.1977,1996,2004,England,Rechtshänder,Wes Newton Unicorn 22g,Wesley Newton,Newton W.
13.01.1995,2012,2015,Belgien,Rechtshänder,,Kenny Neyens,Neyens K.
10.05.1979,1990,,Australien,,,Paul Nicholson,Nicholson P.
10.04.1978,2019,,Dänemark,Rechtshänder,,Claus Bendix Nielsen,Bendix Nielsen C.
26.06.2000,2016,,Niederlande,Rechtshänder,Mission Darts 22g,Wessel Nijman,Nijman W.
06.06.1980,,,Deutschland,Rechtshänder,,Stefan Nilles,Nilles S.
21.03.1976,2006,,Schweden,Rechtshänder,,Dennis Nilsson,Nilsson D.
1994,,,Deutschland,Rechtshänder,,Maximilian Nirschl,Nirschl M.
,,,England,Rechtshänder,,Phill Nixon,Nixon P.
31.12.1990,2009,2012,Niederlande,Rechtshänder,Winmau Danny Noppert 23g,Danny Noppert,Noppert D.
15.06.1974,1994,,Kanada,Rechtshänder,24g,John Norman Jnr,Norman Jnr J.
21.02.1972,1981,2015,England,Rechtshänder,Target Alan Norris Darts Tungsten Darts 22g,Alan Norris,Norris A.
23.04.1990,,2017,England,Rechtshänder,Red Dragon 22g,Richard North,North R.
22.03.1990,,,Deutschland,Rechtshänder,Evo Darts 21g,Steven Noster,Noster S.
,,,Südafrika,Rechtshänder,,Liam O'Brien,O'Brien L.
18.10.1987,,,Deutschland,Rechtshänder,Evo Darts,Marco Obst,Obst M.
,,,Russland,Rechtshänder,,Roman Obukhov,Obukhov R.
10.06.2000,2018,,Schweden,Rechtshänder,,Anton Östlund,Östlund A.
28.09.1993,2000,2018,,Rechtshänder,Royal Darts Dandelion 22g,Baran Özdemir,Özdemir B.
15.07.1986,2005,2010,Irland,Rechtshänder,Winmau 23g,William O'Connor,O'Connor W.
22.06.1978,1997,,Australien,Rechtshänder,Mission 23g,Raymond O'Donnell,O'Donnell R.
,,,Island,Rechtshänder,,Arngrimur Olafsson,Olafsson A.
21.01.1965,,,Südafrika,Rechtshänder,25g Unicorn,Deon Oliver,Oliver D.
24.09.1975,2007,,Ukraine,Rechtshänder,Winmau 24g,Vladyslav Omelchenko,Omelchenko V.
17.12.1987,2010,,Japan,Rechtshänder,Target Keita Ono 20g,Keita Ono,Ono K.
15.07.1961,2010,,Russland,Linkshänder,Shot 18g,Alexandr Oreshkin,Oreshkin A.
19.06.1975,,,England,Rechtshänder,,Colin Osborne,Osborne C.
24.06.1975,1995,2019,Irland,Rechtshänder,Target 23g,John O'Shea,O'Shea J.
09.05.1961,1979,1995,England,Rechtshänder,Target 24g,Tony O'Shea,O'Shea T.
07.01.1957,,,England,Rechtshänder,,Denis Ovens,Ovens D.
23.09.1984,2003,2014,Wales,,,Robert Owen,Owen R.
08.03.1999,,,Finnland,Rechtshänder,22g Target,Aki Paavilainen,Paavilainen A.
27.03.1982,2006,2010,England,Linkshänder,John Lowe Hero 26g,Matt Padgett,Padgett M.
06.09.2011,2021,,Belgien,Rechtshänder,Mission Darts Signature 22g,Lex Paeshuyse,Paeshuyse L.
12.07.1967,,,England,,,Kevin Painter,Painter K.
08.02.1990,1998,2013,England,Rechtshänder,,David Pallett,Pallett D.
13.08.1987,2007,,England,Linkshänder,Harrows Gyro Knurled 28g,Ryan Palmer,Palmer R.
11.11.1985,2005,,Griechenland,Rechtshänder,22g,Kostas Pantelidis,Pantelidis K.
22.12.1982,,,Südkorea,Rechtshänder,Dynasty 21g,Hyun Chul Park,Chul Park H.
22.04.1983,2003,2017,England,Rechtshänder,Dave Parletti One80 24g,Dave Parletti,Parletti D.
07.08.1984,1991,2002,Gibraltar,Rechtshänder,Target Storm 24g,Dyson Parody,Parody D.
