Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
,,,USA,Rechtshänder,,Doug Boehm,Boehm D.
13.02.1970,,,Belgien,Rechtshänder,,Luc Bogaert,Bogaert L.
26.10.2003,2021,,Deutschland,Rechtshänder,,Moritz Bohrmann,Bohrmann M.
10.05.1995,,,Niederlande,Rechtshänder,22g James Wade,Patrick van den Boogaard,van den Boogaard P.
31.08.2005,,,Ungarn,Rechtshänder,,András Borbely,Borbely A.
08.11.1996,2015,2021,Schottland,Rechtshänder,Winmau 24g,William Borland,Borland W.
09.11.2001,2016,,Niederlande,Rechtshänder,,Jarno Bottenberg,Bottenberg J.
25.02.1973,1991,2006,,Rechtshänder,Showtime X-Factor 23g,Andy Boulton,Boulton A.
,,,Südafrika,Rechtshänder,,Vernon Bouwers,Bouwers V.
26.05.1967,,,England,Rechtshänder,26g Target,John Bowles,Bowles J.
03.05.1975,1998,,USA,Rechtshänder,Shot Signature 23g,Jason Brandon,Brandon J.
10.02.1983,,,Tschechien,Rechtshänder,,Jiri Brejcha,Brejcha J.
02.10.2002,2017,,Deutschland,Rechtshänder,,Jannes Bremermann,Bremermann J.
06.08.1973,1997,,Kanada,Rechtshänder,Laserdarts 24g,Shawn Brenneman,Brenneman S.
,1969,,England,Rechtshänder,Harrows Eric Bristow 22g,Eric Bristow,Bristow E.
20.02.2000,2015,2018,England,Rechtshänder,Shot,Bradley Brooks,Brooks B.
01.01.1984,,,England,,,Jordan Brooks,Brooks J.
,1999,,Gibraltar,Rechtshänder,,Justin Broton,Broton J.
,,,Neuseeland,Rechtshänder,,Craig Brown,Brown C.
12.07.1970,1990,2016-2017,England,Rechtshänder,20g Red Dragon,Darron Brown,Brown D.
14.02.1971,2011,,Schottland,Rechtshänder,24g,Jim Brown,Brown J.
18.10.1999,,2021,England,Rechtshänder,Target Darts,John Brown,Brown J.
05.11.1992,2001,2011,England,Rechtshänder,,Keegan Brown,Brown K.
25.01.1981,1995,2006,England,Rechtshänder,Winmau 22g,Steve Brown,Brown S.
,,,Deutschland,Rechtshänder,,Frank Bruns,Bruns F.
25.06.1985,2005,,England,Rechtshänder,22g,Lee Bryant,Bryant L.
10.12.1994,2012,,England,Rechtshänder,23g,Lee Budgen,Budgen L.
,,,Deutschland,Rechtshänder,,Markus Buffler,Buffler M.
06.01.1995,,,Deutschland,Rechtshänder,,Christian Bunse,Bunse C.
09.04.1985,1997,2014,England,Rechtshänder,Target Bullet Darts 18g,Stephen Bunting,Bunting S.
27.04.1979,2003,,USA,Rechtshänder,Shot Darts 23g,Stowe Buntz,Buntz S.
19.07.1968,2002,,Österreich,,,Dietmar Burger,Burger D.
11.11.1993,2017,,England,Rechtshänder,,Pete Burgoyne,Burgoyne P.
17.11.1965,2008,2018,Nordirland,Rechtshänder,,Kevin Burness,Burness K.
07.02.1967,1983,1995,Wales,Rechtshänder,Red Dragon Richie Burnett,Richie Burnett,Burnett R.
05.11.1978,,,Kanada,Rechtshänder,PhoenixSports Signature Darts 24g,Shawn Burt,Burt S.
02.12.1987,2007,,England,Rechtshänder,Mission Darts,Stephen Burton,Burton S.
21.07.1957,1977,1992,USA,Rechtshänder,Dynasty 24g,Larry Butler,Butler L.
18.03.1995,,,Australien,Rechtshänder,24g,Corey Cadby,Cadby C.
20.01.1973,1990,2010,Neuseeland,Rechtshänder,,Craig Caldwell,Caldwell C.
15.09.1969,1990,1998,Kanada,Rechtshänder,Cosmo Darts Signature 22g,David Cameron,Cameron D.
29.09.1989,2014,2021,Kanada,Rechtshänder,Galaxy 22g,Matt Campbell,Campbell M.
04.04.1967,,,Nordirland,Rechtshänder,Target Carrera C4 24g,Ray Campbell,Campbell R.
15.11.1968,1987,2009,Schweden,Rechtshänder,,Magnus Caris,Caris M.
06.02.1985,2005,2019,Nordirland,Rechts,Target 24g,Gavin Carlin,Carlin G.
16.01.1996,2016,,Südafrika,Rechtshänder,24g,Cameron Carolissen,Carolissen C.
24.01.1987,,,Belgien,Rechtshänder,One80 Signature,Jeroen Caron,Caron J.
19.04.1977,2015,,England,Rechtshänder,,Shaun Carroll,Carroll S.
,,,Australien,Rechtshänder,,Michael Cassar,Cassar M.
10.03.1976,1993,2007,England,Rechtshänder,Cuesoul Jamie Caven 23g,Jamie Caven,Caven J.
05.01.1966,,,England,Rechtshänder,19g Alan Caves,Alan Caves,Caves A.
04.04.1975,1994,,USA,Rechtshänder,,Joe Chaney,Chaney J.
18.03.1977,2014,,Island,Rechtshänder,Winmau Scott Waites 23g,Vitor Charrua,Charrua V.
28.09.1987,2008,,Japan,Rechtshänder,DMC 21g Sabre Masumi Chino,Masumi Chino,Chino M.
12.09.1980,1997,2007,England,Rechtshänder,Harrows Dave Chisnall 22g,Dave Chisnall,Chisnall D.
26.09.1996,,,Schottland,Rechtshänder,,Jamie Clark,Clark J.
26.03.1969,1992,2005-2010,Schottland,Rechtshänder,,Jason Clark,Clark J.
04.04.1968,1988,2011,England,,Elvan Own Design 22g,Matt Clark,Clark M.
11.10.1982,2002,2022,England,Rechtshänder,Mission 22g,Brett Claydon,Claydon B.
04.10.1974,2008,2015,Wales,Rechtshänder,Red Dragon Signature 21g,Jonny Clayton,Clayton J.
02.10.1967,2009,,Neuseeland,Rechtshänder,Cuesoul 23g,Mark Cleaver,Cleaver M.
16.08.1983,2001,2018,Deutschland,Rechtshänder,Target 23g,Gabriel Clemens,Clemens G.
03.07.2006,,,England,Rechtshänder,Unicorn Signature 22g,Henry Coates,Coates H.
,,,Australien,Rechtshänder,,Stuart Coburn,Coburn S.
22.07.1983,2016,,England,Rechtshänder,,Lee Cocks,Cocks L.
28.06.2000,2015,,England,Rechtshänder,Target Jarred Cole,Jarred Cole,Cole J.
07.07.1999,,,England,Rechtshänder,,Reece Colley,Colley R.
18.03.1979,2018,,England,Rechtshänder,22g,Robert Collins,Collins R.
20.03.1981,,,Australien,Rechtshänder,,Joe Comito,Comito J.
22.11.1972,,2010,Nordirland,Rechtshänder,,Barry Copeland,Copeland B.
,,,Neuseeland,Rechtshänder,,Brian Corbett,Corbett B.
20.04.1962,,,England,Rechtshänder,22g,Richie Corner,Corner R.
19.12.1978,2000,,Schottland,Rechtshänder,22g,Paul Coughlin,Coughlin P.
21.09.2003,,,England,Rechtshänder,Mission Darts,Cameron Crabtree,Crabtree C.
15.05.1993,2015,,England,Rechtshänder,Mission Signature 23g,Joe Croft,Croft J.
21.09.1990,1992,2017,England,Rechtshänder,Target Voltage Rob Cross 21g,Rob Cross,Cross R.
,,,Ungarn,Rechtshänder,,Andras Csoka,Csoka A.
11.06.1988,2004,2017,Irland,Rechtshänder,,Jason Cullen,Cullen J.
13.07.1989,2006,2008,England,Rechtshänder,Winmau 21g,Joe Cullen,Cullen J.
23.01.1976,2011,,Australien,Rechtshänder,Loxley Darts 23g,Mal Cuming,Cuming M.
,2021,2025,Deutschland,Rechtshänder,Bulls NL Dirk van Duijvenbode 23g,Maximilian Czerwinski,Czerwinski M.
01.02.1982,,,Italien,Rechtshänder,,Max Dalla Rosa,Dalla Rosa M.
,,,Italien,Rechtshänder,One80,Massimo Dante,Dante M.
16.02.1979,,,England,Rechtshänder,,Scott Darbyshire,Darbyshire S.
05.05.1975,,,England,Rechtshänder,,Gary Davey,Davey G.
02.12.1981,2016,,Wales,Rechtshänder,,John Davey,Davey J.
22.10.1985,2004,,Norwegen,Rechtshänder,,Rune David,David R.
11.09.1967,1993,,Australien,Rechtshänder,,Tony David,David T.
27.09.1995,,,Schottland,Rechtshänder,,Andrew Davidson,Davidson A.
20.03.1997,2010,,England,Rechtshänder,,Joe Davis,Davis J.
05.10.1995,,,USA,Rechtshänder,Viper 19g,JT Davis,Davis J.
12.12.1968,1980,2009,England,Rechtshänder,,Brian Dawson,Dawson B.
08.09.1988,2008,2016,England,Rechtshänder,One80 Daniel Day 22g,Daniel Day,Day D.
31.07.1955,1981,,Neuseeland,Rechtshänder,23g Shot,Mike Day,Day M.
15.02.1995,2010,2016,Belgien,Rechtshänder,Mission Darts 22g,Mike de Decker,de Decker M.
01.05.2005,2020,,Irland,Rechtshänder,Custom Winmau 23g,Adam Dee,Dee A.
09.10.1987,2012,,Norwegen,Rechtshänder,,Cor Dekker,Dekker C.
